X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
9.033358573913574219e+00,8.025093078613281250e-01,8.095349073410034180e-01,-2.319454431533813477e+00,-1.732742071151733398e+00,-4.756851196289062500e+00,-1.163494110107421875e+01,-1.900783061981201172e+00,9.929628968238830566e-01,-1.028564834594726562e+01,-2.090551853179931641e+00,-3.892956972122192383e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
9.134552955627441406e+00,2.276425063610076904e-01,4.805416464805603027e-01,-1.143041014671325684e+00,-1.586595416069030762e+00,-4.486035823822021484e+00,-1.190931129455566406e+01,-1.959346413612365723e+00,8.336066603660583496e-01,-9.053153038024902344e+00,-2.543730258941650391e+00,-5.517908096313476562e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
9.202223777770996094e+00,-2.063393592834472656e-03,5.137557983398437500e-01,-4.635647237300872803e-01,-1.398857355117797852e+00,-4.470817089080810547e+00,-1.204115676879882812e+01,-2.094748258590698242e+00,9.363867640495300293e-01,-8.516308784484863281e+00,-2.646358013153076172e+00,-6.504016876220703125e+00,3.208841668845446304e-01,6.800159835931912644e-01,2.479280973747593819e+00
9.051463127136230469e+00,-6.996222734451293945e-01,3.544836640357971191e-01,9.075934290885925293e-01,-1.005097389221191406e+00,-4.333536148071289062e+00,-1.203167915344238281e+01,-2.212918519973754883e+00,9.393369555473327637e-01,-6.654708385467529297e+00,-2.984205961227416992e+00,-8.086985588073730469e+00,3.542008329823561619e-01,7.254356527383687414e-01,2.598766558013919425e+00
8.687474250793457031e+00,-1.468009710311889648e+00,1.600342541933059692e-01,2.367455244064331055e+00,-6.148114800453186035e-01,-4.356162548065185547e+00,-1.184384059906005859e+01,-2.499548912048339844e+00,1.050478577613830566e+00,-4.442013263702392578e+00,-3.338505029678344727e+00,-9.454502105712890625e+00,3.849559263389800146e-01,7.665329234102449263e-01,2.721579891448806521e+00
8.188122749328613281e+00,-2.492893457412719727e+00,-2.204242050647735596e-01,3.715930223464965820e+00,-2.221702635288238525e-01,-4.189259052276611328e+00,-1.185756301879882812e+01,-2.653782606124877930e+00,1.136561155319213867e+00,-1.857085347175598145e+00,-3.711666107177734375e+00,-1.085754871368408203e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
8.032047271728515625e+00,-2.832759141921997070e+00,-4.012624025344848633e-01,4.196846961975097656e+00,-1.364854723215103149e-02,-4.163679599761962891e+00,-1.190598773956298828e+01,-2.686312675476074219e+00,1.218327760696411133e+00,-9.096723794937133789e-01,-3.962178468704223633e+00,-1.139218330383300781e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
7.964592456817626953e+00,-2.942945480346679688e+00,-4.127928614616394043e-01,4.338372707366943359e+00,2.224811911582946777e-02,-4.236016273498535156e+00,-1.196357917785644531e+01,-2.737119674682617188e+00,1.327316522598266602e+00,-6.291475296020507812e-01,-3.985738277435302734e+00,-1.153171539306640625e+01,4.133465203685712797e-01,8.037194021811097100e-01,2.839371800734650897e+00
7.255522251129150391e+00,-3.781142711639404297e+00,-6.582754850387573242e-01,5.267965793609619141e+00,3.180301189422607422e-01,-4.161785602569580078e+00,-1.179840469360351562e+01,-2.755955219268798828e+00,1.550759792327880859e+00,1.700228095054626465e+00,-4.099885463714599609e+00,-1.229802894592285156e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
6.648968219757080078e+00,-4.395385742187500000e+00,-1.019006490707397461e+00,5.989839553833007812e+00,7.373785972595214844e-01,-4.201124668121337891e+00,-1.157778739929199219e+01,-2.777112960815429688e+00,1.784582972526550293e+00,3.746980190277099609e+00,-4.527683258056640625e+00,-1.276467037200927734e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
