X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-5.195418000221252441e-02,-2.802357673645019531e-01,2.485193014144897461e-01,-1.419992744922637939e-01,5.304982513189315796e-02,-7.496457546949386597e-02,4.076194465160369873e-01,1.134010031819343567e-03,1.665048301219940186e-03,4.058442264795303345e-02,-2.260054647922515869e-02,1.756237354129552841e-03,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-5.169958621263504028e-02,-2.793684899806976318e-01,2.472893297672271729e-01,-1.428861021995544434e-01,4.940059036016464233e-02,-7.613817602396011353e-02,4.060250222682952881e-01,-4.134271293878555298e-04,1.619085669517517090e-03,4.421455413103103638e-02,-2.278048545122146606e-02,1.901111099869012833e-03,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-5.440489202737808228e-02,-2.793319821357727051e-01,2.467384636402130127e-01,-1.398003548383712769e-01,4.899550229310989380e-02,-7.564029097557067871e-02,4.043298959732055664e-01,-6.100330501794815063e-04,3.517653793096542358e-03,4.312650114297866821e-02,-2.171890437602996826e-02,1.927572302520275116e-03,2.340870137674679885e-01,1.334259239593039992e-02,3.267109897507810246e+01
-6.224464625120162964e-02,-2.833018004894256592e-01,2.535288631916046143e-01,-1.371374577283859253e-01,5.501359701156616211e-02,-7.080546766519546509e-02,4.110873639583587646e-01,5.807355046272277832e-05,7.063277065753936768e-03,3.198746591806411743e-02,-1.960206031799316406e-02,1.494284719228744507e-03,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293286720124e+01
-6.152673810720443726e-02,-2.776910066604614258e-01,2.472571134567260742e-01,-1.323511302471160889e-01,4.921049624681472778e-02,-7.188139110803604126e-02,4.005667567253112793e-01,-1.346185803413391113e-03,8.090082556009292603e-03,3.652859479188919067e-02,-1.848389580845832825e-02,1.827073283493518829e-03,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242653209699e+01
-6.281789392232894897e-02,-2.784384787082672119e-01,2.492522299289703369e-01,-1.315054446458816528e-01,5.497286468744277954e-02,-6.755680590867996216e-02,4.027588963508605957e-01,2.712868154048919678e-04,8.148748427629470825e-03,2.819404192268848419e-02,-1.825188472867012024e-02,1.580107025802135468e-03,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-6.430846452713012695e-02,-2.814902067184448242e-01,2.560175359249114990e-01,-1.280924826860427856e-01,5.818668752908706665e-02,-6.396128237247467041e-02,4.082663357257843018e-01,1.568654552102088928e-03,1.019882038235664368e-02,2.033521607518196106e-02,-1.235593110322952271e-02,1.457907725125551224e-03,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-6.988791376352310181e-02,-2.813946008682250977e-01,2.545388638973236084e-01,-1.288806647062301636e-01,6.054558604955673218e-02,-6.083571910858154297e-02,4.077588319778442383e-01,5.276780575513839722e-04,1.120184734463691711e-02,1.590440794825553894e-02,-1.611470803618431091e-02,1.316314563155174255e-03,2.694882636994210268e-01,1.506807428194529945e-02,3.629668357025799708e+01
-8.110938221216201782e-02,-2.874589562416076660e-01,2.613692283630371094e-01,-1.278397142887115479e-01,6.957171857357025146e-02,-5.258148908615112305e-02,4.173865020275115967e-01,5.901623517274856567e-04,1.476202160120010376e-02,4.821959882974624634e-04,-1.785646751523017883e-02,1.107464078813791275e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
-8.374767005443572998e-02,-2.910706400871276855e-01,2.666815817356109619e-01,-1.249273344874382019e-01,7.498589903116226196e-02,-5.042432248592376709e-02,4.233225882053375244e-01,2.577627077698707581e-03,1.655539125204086304e-02,-6.139311939477920532e-03,-1.577474549412727356e-02,1.066312193870544434e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
-8.490499854087829590e-02,-2.874884307384490967e-01,2.627123892307281494e-01,-1.235627979040145874e-01,7.286497205495834351e-02,-4.835440590977668762e-02,4.172560274600982666e-01,1.146450638771057129e-03,1.687575876712799072e-02,-6.902160122990608215e-03,-1.653647422790527344e-02,1.131274737417697906e-03,2.887853467979349942e-01,1.596208887285570019e-02,3.829024490453210205e+01
-8.776623755693435669e-02,-2.862331271171569824e-01,2.610625624656677246e-01,-1.230162978172302246e-01,7.253737002611160278e-02,-4.613941907882690430e-02,4.149476289749145508e-01,-2.056360244750976562e-05,1.767469942569732666e-02,-9.085275232791900635e-03,-1.772687584161758423e-02,1.139487605541944504e-03,2.973359286570990134e-01,1.634634648967750112e-02,3.898885161279749667e+01
