X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-2.091555893421173096e-01,-3.791985660791397095e-02,2.222776412963867188e-03,-1.116073131561279297e-01,1.702886074781417847e-01,-3.204303234815597534e-02,2.914226353168487549e-01,-9.451512247323989868e-03,2.410124987363815308e-02,-1.066500395536422729e-01,2.155080437660217285e-06,-5.014515481889247894e-04,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-1.970714032649993896e-01,-1.343268901109695435e-02,-6.976902484893798828e-03,-1.038945093750953674e-01,1.583530902862548828e-01,-1.353154331445693970e-02,2.485557496547698975e-01,-8.817300200462341309e-03,2.849043160676956177e-02,-9.932430833578109741e-02,-1.447831839323043823e-02,-7.658693939447402954e-04,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-2.015481591224670410e-01,-2.892993390560150146e-03,-1.234221458435058594e-02,-1.063904985785484314e-01,1.601596921682357788e-01,-5.581744015216827393e-03,2.405853867530822754e-01,-9.406361728906631470e-03,3.195147961378097534e-02,-1.014218404889106750e-01,-2.162401191890239716e-02,-7.782652974128723145e-04,2.340870137674679885e-01,1.334259239593039992e-02,3.267109897507810246e+01
-1.953239142894744873e-01,8.953437209129333496e-04,5.959838628768920898e-03,-1.124867051839828491e-01,1.643748432397842407e-01,-2.581551671028137207e-02,2.620528936386108398e-01,-9.560562670230865479e-03,2.829649671912193298e-02,-7.155816256999969482e-02,-2.215580828487873077e-02,4.963758401572704315e-04,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293286720124e+01
-1.895112842321395874e-01,1.873517781496047974e-02,1.151548326015472412e-02,-1.137001365423202515e-01,1.729289144277572632e-01,-3.154433518648147583e-02,2.634250521659851074e-01,-9.504683315753936768e-03,2.786899544298648834e-02,-4.904630780220031738e-02,-3.771726787090301514e-02,9.796442463994026184e-05,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242653209699e+01
-1.778840571641921997e-01,2.337897568941116333e-02,1.958299428224563599e-02,-1.063001975417137146e-01,1.780326962471008301e-01,-3.990223258733749390e-02,2.653032541275024414e-01,-7.448580116033554077e-03,2.410679683089256287e-02,-3.109899535775184631e-02,-4.528410732746124268e-02,-1.110681332647800446e-03,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-1.713424921035766602e-01,2.521360665559768677e-02,2.749668806791305542e-02,-1.028583645820617676e-01,1.819066107273101807e-01,-4.579641669988632202e-02,2.701444327831268311e-01,-6.045864894986152649e-03,2.227208018302917480e-02,-1.827617362141609192e-02,-4.808608070015907288e-02,-1.775640994310379028e-03,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-1.531376093626022339e-01,4.346888512372970581e-02,3.978787735104560852e-02,-9.211868047714233398e-02,1.887640804052352905e-01,-5.532697588205337524e-02,2.651516199111938477e-01,-2.771187573671340942e-03,1.821231655776500702e-02,1.586138457059860229e-02,-6.567017734050750732e-02,-3.404312301427125931e-03,2.694882636994210268e-01,1.506807428194529945e-02,3.629668357025799708e+01
-1.574425995349884033e-01,5.139371007680892944e-02,3.734560310840606689e-02,-9.898080676794052124e-02,1.895798891782760620e-01,-4.980093240737915039e-02,2.625282108783721924e-01,-4.573853686451911926e-03,2.209786698222160339e-02,1.614275388419628143e-02,-6.886998564004898071e-02,-2.843172755092382431e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
-1.494811177253723145e-01,6.398116797208786011e-02,3.965593874454498291e-02,-9.690611809492111206e-02,1.966385841369628906e-01,-5.234975367784500122e-02,2.597173452377319336e-01,-4.526358097791671753e-03,2.129968255758285522e-02,3.159716725349426270e-02,-8.198694884777069092e-02,-4.001910798251628876e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
