X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-2.159057557582855225e-01,-2.695659175515174866e-02,1.029054820537567139e-01,-1.360554248094558716e-01,2.333785593509674072e-01,-1.219563484191894531e-01,4.386096894741058350e-01,-1.264702528715133667e-03,1.365311443805694580e-02,1.665673404932022095e-02,-5.402363836765289307e-03,1.724002882838249207e-03,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-2.093096077442169189e-01,-3.005931153893470764e-02,1.046096086502075195e-01,-1.381132602691650391e-01,2.311098575592041016e-01,-1.328181028366088867e-01,4.434256255626678467e-01,-2.933513373136520386e-03,9.596794843673706055e-03,2.389396540820598602e-02,-4.774730652570724487e-03,2.255612984299659729e-03,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
-2.055488228797912598e-01,-3.679208457469940186e-02,1.057324260473251343e-01,-1.409175693988800049e-01,2.290483117103576660e-01,-1.333310604095458984e-01,4.465256035327911377e-01,-4.886038601398468018e-03,9.841481223702430725e-03,2.281313203275203705e-02,7.432512938976287842e-04,2.086490392684936523e-03,2.340870137674679885e-01,1.334259239593039992e-02,3.267109897507810246e+01
-1.990349441766738892e-01,-3.635988384485244751e-02,1.031589955091476440e-01,-1.448032706975936890e-01,2.261963784694671631e-01,-1.341915428638458252e-01,4.431649744510650635e-01,-7.751177996397018433e-03,9.614031761884689331e-03,2.553733438253402710e-02,-8.187070488929748535e-05,2.132395282387733459e-03,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293286720124e+01
-2.005433738231658936e-01,-3.496623784303665161e-02,9.928072988986968994e-02,-1.427625119686126709e-01,2.271061390638351440e-01,-1.208582818508148193e-01,4.346391260623931885e-01,-7.212292402982711792e-03,1.407081075012683868e-02,1.720818877220153809e-02,-4.941727966070175171e-04,1.177377067506313324e-03,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242653209699e+01
-1.994747221469879150e-01,-4.235615581274032593e-02,9.736667573451995850e-02,-1.435172706842422485e-01,2.284863144159317017e-01,-1.176011562347412109e-01,4.368886649608612061e-01,-8.454974740743637085e-03,1.501249149441719055e-02,1.004316098988056183e-02,3.323145210742950439e-03,3.340095281600952148e-04,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-2.024092972278594971e-01,-4.786523431539535522e-02,9.495118260383605957e-02,-1.453444659709930420e-01,2.287427783012390137e-01,-1.117108464241027832e-01,4.377701878547668457e-01,-9.379703551530838013e-03,1.732788234949111938e-02,8.364859968423843384e-04,7.897095754742622375e-03,-5.901325494050979614e-05,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
-2.019188404083251953e-01,-4.866599291563034058e-02,8.960948884487152100e-02,-1.475705206394195557e-01,2.258872240781784058e-01,-1.042909920215606689e-01,4.309691786766052246e-01,-1.112252473831176758e-02,1.976057142019271851e-02,-6.126783788204193115e-03,9.335210546851158142e-03,-2.403724938631057739e-04,2.694882636994210268e-01,1.506807428194529945e-02,3.629668357025799708e+01
-2.024101018905639648e-01,-5.865918099880218506e-02,8.259664475917816162e-02,-1.515142619609832764e-01,2.234894037246704102e-01,-9.105244278907775879e-02,4.267298579216003418e-01,-1.421555131673812866e-02,2.438244968652725220e-02,-2.323305979371070862e-02,1.753611117601394653e-02,-1.198338344693183899e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
-2.001581788063049316e-01,-5.978754162788391113e-02,8.346551656723022461e-02,-1.498889774084091187e-01,2.244967818260192871e-01,-9.569579362869262695e-02,4.290439486503601074e-01,-1.396446675062179565e-02,2.218814194202423096e-02,-2.060907706618309021e-02,1.635652780532836914e-02,-1.342928968369960785e-03,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
