X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,U0,U1,U2
-8.676981925964355469e-02,3.154983744025230408e-02,-7.557743787765502930e-02,1.180837675929069519e-01,7.626870274543762207e-02,-1.229202821850776672e-01,2.028998136520385742e-01,-8.634760044515132904e-03,1.563522219657897949e-02,-7.569710910320281982e-02,8.730305358767509460e-03,-2.895232755690813065e-04,-1.798813790082931519e-01,7.713064551353454590e-03,1.644837409257888794e-01,1.318719778061679948e-01,7.869386398901100435e-03,1.967346599725280143e+01
-8.094758540391921997e-02,2.706440910696983337e-02,-7.807536423206329346e-02,1.140955984592437744e-01,8.007302880287170410e-02,-1.357528716325759888e-01,1.987178176641464233e-01,-9.992699138820171356e-03,1.574723236262798309e-02,-8.385655283927917480e-02,7.672307547181844711e-03,-1.615597866475582123e-04,-1.977785676717758179e-01,7.913082838058471680e-03,1.458728760480880737e-01,1.423855953991740031e-01,8.461018069394600147e-03,2.115254517348650154e+01
-8.085378259420394897e-02,1.983065903186798096e-02,-8.220739662647247314e-02,1.204343438148498535e-01,7.752631604671478271e-02,-1.419391930103302002e-01,2.013244181871414185e-01,-1.107724104076623917e-02,1.628200709819793701e-02,-7.670819759368896484e-02,2.700190059840679169e-03,-5.082134157419204712e-04,-2.119742631912231445e-01,-2.325989305973052979e-03,1.404636949300765991e-01,1.524869402600619872e-01,9.023792894398800779e-03,2.255948223599699887e+01
-7.305771112442016602e-02,1.341509819030761719e-02,-9.084742516279220581e-02,1.212039068341255188e-01,7.789584994316101074e-02,-1.451455950736999512e-01,2.010076493024826050e-01,-1.206627674400806427e-02,1.442018896341323853e-02,-7.962302863597869873e-02,-9.400092996656894684e-03,-8.136364631354808807e-04,-2.200386971235275269e-01,-1.330947875976562500e-02,1.303804218769073486e-01,1.621920229138689995e-01,9.559105154525300574e-03,2.389776288631340151e+01
-8.431645482778549194e-02,9.526699781417846680e-03,-9.698812663555145264e-02,1.256565600633621216e-01,7.042051851749420166e-02,-1.434768140316009521e-01,2.189492583274841309e-01,-1.210815552622079849e-02,1.316565461456775665e-02,-6.549460440874099731e-02,-1.484378892928361893e-02,-1.103037735447287560e-03,-2.187432199716567993e-01,-1.182080060243606567e-02,1.402390450239181519e-01,1.715166266244100013e-01,1.006831542419400066e-02,2.517078856048510005e+01
-9.049391746520996094e-02,2.924114465713500977e-03,-1.058699786663055420e-01,1.279168426990509033e-01,6.304809451103210449e-02,-1.483801007270812988e-01,2.325718253850936890e-01,-1.299635786563158035e-02,1.140476763248443604e-02,-5.420750379562377930e-02,-2.438874170184135437e-02,-1.488662790507078171e-03,-2.274336516857147217e-01,-9.435914456844329834e-03,1.384682804346084595e-01,1.804755716108689956e-01,1.055268794334249943e-02,2.638171985835629840e+01
-9.140405803918838501e-02,2.638444304466247559e-03,-1.095260828733444214e-01,1.249796301126480103e-01,6.201532483100891113e-02,-1.550597101449966431e-01,2.361539006233215332e-01,-1.359547674655914307e-02,1.043194159865379333e-02,-5.568211525678634644e-02,-2.727695554494857788e-02,-1.521906582638621330e-03,-2.349962592124938965e-01,2.314597368240356445e-04,1.332181394100189209e-01,1.890832159621639863e-01,1.101343598558869943e-02,2.753358996397160041e+01
-1.086218655109405518e-01,-4.768848419189453125e-03,-1.178049296140670776e-01,1.368445456027984619e-01,5.439881980419158936e-02,-1.540496349334716797e-01,2.639764249324798584e-01,-1.382050011307001114e-02,1.004485599696636200e-02,-3.592998161911964417e-02,-3.226668387651443481e-02,-1.883937744423747063e-03,-2.377389669418334961e-01,-7.875181734561920166e-03,1.503752171993255615e-01,1.973533742572169958e-01,1.145171531126370004e-02,2.862928827815920130e+01
-1.115184128284454346e-01,-4.992559552192687988e-03,-1.195774674415588379e-01,1.469735801219940186e-01,5.382504314184188843e-02,-1.573626399040222168e-01,2.682085335254669189e-01,-1.419462356716394424e-02,1.140183955430984497e-02,-3.090591728687286377e-02,-3.327242285013198853e-02,-2.225952222943305969e-03,-2.471148371696472168e-01,-1.327680051326751709e-02,1.586677432060241699e-01,2.052992662655589995e-01,1.186862051622999958e-02,2.967155129057490015e+01
-1.078444421291351318e-01,-8.836805820465087891e-03,-1.200968772172927856e-01,1.500465124845504761e-01,5.281389504671096802e-02,-1.693409085273742676e-01,2.617275714874267578e-01,-1.556806638836860657e-02,1.280348934233188629e-02,-2.864996343851089478e-02,-3.447779640555381775e-02,-2.533437218517065048e-03,-2.679197788238525391e-01,-1.400190591812133789e-02,1.462064832448959351e-01,2.129335945961429999e-01,1.226519293477009928e-02,3.066298233692529962e+01
-1.092275828123092651e-01,-9.370148181915283203e-03,-1.193445473909378052e-01,1.527095586061477661e-01,5.566634982824325562e-02,-1.705266982316970825e-01,2.640074491500854492e-01,-1.563283428549766541e-02,1.373075321316719055e-02,-3.032452613115310669e-02,-3.140336275100708008e-02,-2.439246512949466705e-03,-2.704032063484191895e-01,-1.914900541305541992e-02,1.485351622104644775e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.077245026826858521e-01,-8.232079446315765381e-03,-1.205153465270996094e-01,1.510073095560073853e-01,5.419892072677612305e-02,-1.723489761352539062e-01,2.620922625064849854e-01,-1.579896360635757446e-02,1.312199048697948456e-02,-3.068652004003524780e-02,-3.392220661044120789e-02,-2.543378621339797974e-03,-2.723401784896850586e-01,-1.300087571144104004e-02,1.459893882274627686e-01,2.202685742053709927e-01,1.264242405431850041e-02,3.160606013579609908e+01
-1.082601025700569153e-01,-9.093895554542541504e-03,-1.221615821123123169e-01,1.483013629913330078e-01,5.439741909503936768e-02,-1.778384894132614136e-01,2.639890313148498535e-01,-1.628672517836093903e-02,1.274178549647331238e-02,-3.259146958589553833e-02,-3.430267050862312317e-02,-2.488471334800124168e-03,-2.785891890525817871e-01,-7.317513227462768555e-03,1.403829753398895264e-01,2.273159725375230034e-01,1.300125951098080046e-02,3.211380692069690213e+01
-1.044941991567611694e-01,-1.323743164539337158e-02,-1.207498461008071899e-01,1.468529403209686279e-01,5.698161572217941284e-02,-1.817936748266220093e-01,2.589690983295440674e-01,-1.687468402087688446e-02,1.354953646659851074e-02,-3.541007637977600098e-02,-3.228028118610382080e-02,-2.375238807871937752e-03,-2.852474749088287354e-01,-1.456117630004882812e-02,1.296865940093994141e-01,2.340870137674679885e-01,1.334259239593029930e-02,3.267109897546809805e+01
-1.007878333330154419e-01,-1.811440289020538330e-02,-1.216473132371902466e-01,1.489152312278747559e-01,5.469244718551635742e-02,-1.847664117813110352e-01,2.538945674896240234e-01,-1.758167147636413574e-02,1.393636129796504974e-02,-3.096131980419158936e-02,-3.571376949548721313e-02,-2.649941015988588333e-03,-2.932102382183074951e-01,-2.157860249280929565e-02,1.213086396455764771e-01,2.405925691012449907e-01,1.366727916851370045e-02,3.326244794426820306e+01
-9.857933968305587769e-02,-2.075132727622985840e-02,-1.176187843084335327e-01,1.506500542163848877e-01,5.441088229417800903e-02,-1.860832273960113525e-01,2.465754151344299316e-01,-1.785779558122158051e-02,1.557336747646331787e-02,-2.781535685062408447e-02,-3.237818926572799683e-02,-2.691975794732570648e-03,-2.977185547351837158e-01,-2.826353907585144043e-02,1.156464964151382446e-01,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293363899986e+01
-9.627387672662734985e-02,-2.252981811761856079e-02,-1.147973686456680298e-01,1.512286663055419922e-01,5.303242802619934082e-02,-1.901903450489044189e-01,2.392351776361465454e-01,-1.836456172168254852e-02,1.681341230869293213e-02,-2.483177185058593750e-02,-3.058549761772155762e-02,-2.808755263686180115e-03,-3.054817020893096924e-01,-2.886969596147537231e-02,1.080945357680320740e-01,2.528484022218029925e-01,1.426991782936000083e-02,3.449390242289390329e+01
-9.456533193588256836e-02,-2.275364100933074951e-02,-1.122242212295532227e-01,1.528856009244918823e-01,4.838962107896804810e-02,-1.914497613906860352e-01,2.313610613346099854e-01,-1.858535408973693848e-02,1.766646467149257660e-02,-1.763644814491271973e-02,-3.115101903676986694e-02,-3.103672293946146965e-03,-3.097189664840698242e-01,-2.629189938306808472e-02,1.045169085264205933e-01,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242768199672e+01
-9.350844472646713257e-02,-2.414526790380477905e-02,-1.059454530477523804e-01,1.571933776140213013e-01,4.285438358783721924e-02,-1.875410228967666626e-01,2.208526581525802612e-01,-1.836324296891689301e-02,1.959533244371414185e-02,-5.666270852088928223e-03,-2.871307916939258575e-02,-3.382158000022172928e-03,-3.085710704326629639e-01,-3.182224929332733154e-02,1.041120216250419617e-01,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969507370323e+01
-9.106883406639099121e-02,-2.373924851417541504e-02,-9.983389079570770264e-02,1.592551171779632568e-01,3.941495716571807861e-02,-1.840935945510864258e-01,2.096109241247177124e-01,-1.807610690593719482e-02,2.115301415324211121e-02,1.375421881675720215e-03,-2.589703351259231567e-02,-3.543449798598885536e-03,-3.064268231391906738e-01,-3.447099775075912476e-02,1.030211299657821655e-01,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969507370323e+01
-8.897644281387329102e-02,-2.513755112886428833e-02,-9.817759692668914795e-02,1.609628200531005859e-01,3.664998710155487061e-02,-1.865823268890380859e-01,2.031771391630172729e-01,-1.847232505679130554e-02,2.201543748378753662e-02,6.206415593624114990e-03,-2.635277435183525085e-02,-3.775197081267833710e-03,-3.124800324440002441e-01,-3.495553135871887207e-02,9.810867905616760254e-02,2.641619800799320239e-01,1.481520914699670059e-02,3.571458449433809790e+01
-8.621387183666229248e-02,-2.861289680004119873e-02,-9.598606824874877930e-02,1.622059941291809082e-01,3.781754523515701294e-02,-1.863124668598175049e-01,1.983259320259094238e-01,-1.868047006428241730e-02,2.303194999694824219e-02,6.942696869373321533e-03,-2.459080889821052551e-02,-3.752141259610652924e-03,-3.144316077232360840e-01,-4.518657177686691284e-02,9.310716390609741211e-02,2.694882636994210268e-01,1.506807428194529945e-02,3.629668357175250293e+01
-8.640026301145553589e-02,-3.308200836181640625e-02,-9.199370443820953369e-02,1.652625799179077148e-01,3.431546688079833984e-02,-1.813821494579315186e-01,1.938151717185974121e-01,-1.847918145358562469e-02,2.428914234042167664e-02,1.667734980583190918e-02,-2.269605547189712524e-02,-3.842522623017430305e-03,-3.110181093215942383e-01,-5.669432133436203003e-02,9.191378951072692871e-02,2.746057084532679826e-01,1.530860764102580027e-02,3.684888188689529898e+01
-8.714301884174346924e-02,-3.503313660621643066e-02,-8.809202164411544800e-02,1.642483621835708618e-01,3.363341838121414185e-02,-1.791523993015289307e-01,1.910311728715896606e-01,-1.827111095190048218e-02,2.513260766863822937e-02,1.983872801065444946e-02,-1.859220489859580994e-02,-3.697798587381839752e-03,-3.079827725887298584e-01,-6.059084087610244751e-02,8.940525352954864502e-02,2.795224968522360132e-01,1.553741014761390003e-02,3.736388647083899883e+01
-8.939553052186965942e-02,-3.728286921977996826e-02,-8.537776768207550049e-02,1.648475825786590576e-01,2.848304808139801025e-02,-1.732133030891418457e-01,1.897151917219161987e-01,-1.781303249299526215e-02,2.534645795822143555e-02,2.971789985895156860e-02,-1.808797009289264679e-02,-3.765021450817584991e-03,-3.008036613464355469e-01,-6.380321085453033447e-02,9.081963449716567993e-02,2.795224968522360132e-01,1.553741014761390003e-02,3.736388647083899883e+01
-9.092672169208526611e-02,-3.996641933917999268e-02,-8.353944122791290283e-02,1.674418896436691284e-01,2.211649715900421143e-02,-1.678928583860397339e-01,1.875350177288055420e-01,-1.752970926463603973e-02,2.562470361590385437e-02,4.162159562110900879e-02,-1.957259699702262878e-02,-3.997060470283031464e-03,-2.960511744022369385e-01,-6.805136054754257202e-02,9.241193532943725586e-02,2.842465154735480115e-01,1.575505535772379895e-02,3.785318785994380164e+01
-8.895447850227355957e-02,-4.491457343101501465e-02,-8.207707107067108154e-02,1.721231341361999512e-01,1.965692639350891113e-02,-1.649384647607803345e-01,1.830648928880691528e-01,-1.766760647296905518e-02,2.662624791264533997e-02,4.922349378466606140e-02,-2.069714665412902832e-02,-4.210776183754205704e-03,-2.967087030410766602e-01,-8.184481412172317505e-02,9.040938317775726318e-02,2.887853467979609734e-01,1.596208887285769859e-02,3.829024490653380042e+01
