X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,U0,U1,U2
-2.170033156871795654e-01,-4.375681281089782715e-02,-1.496750563383102417e-01,1.822441369295120239e-01,9.107966721057891846e-02,-8.591710776090621948e-02,4.682298898696899414e-01,-8.196028880774974823e-03,7.363323122262954712e-03,-2.275484800338745117e-02,-2.892726100981235504e-03,1.554811839014291763e-03,-1.404939591884613037e-01,-1.539222896099090576e-01,2.975465059280395508e-01,1.318719778061679948e-01,7.869386398901100435e-03,1.967346599725280143e+01
-2.134914100170135498e-01,-4.869356006383895874e-02,-1.523808240890502930e-01,1.836399435997009277e-01,8.957875519990921021e-02,-9.253104031085968018e-02,4.656917750835418701e-01,-9.035813622176647186e-03,7.483009248971939087e-03,-2.065096050500869751e-02,-6.984205916523933411e-03,1.367852091789245605e-03,-1.525035798549652100e-01,-1.578922569751739502e-01,2.875613570213317871e-01,1.423855953991740031e-01,8.461018069394600147e-03,2.115254517348650154e+01
-2.085932791233062744e-01,-4.877635836601257324e-02,-1.541656553745269775e-01,1.845442950725555420e-01,8.835538476705551147e-02,-9.773859381675720215e-02,4.601435363292694092e-01,-9.573748335242271423e-03,7.453458383679389954e-03,-2.111341059207916260e-02,-1.119745243340730667e-02,1.118739601224660873e-03,-1.614551246166229248e-01,-1.554456949234008789e-01,2.815462946891784668e-01,1.524869402600619872e-01,9.023792894398800779e-03,2.255948223599699887e+01
-2.028719931840896606e-01,-5.049215257167816162e-02,-1.551873683929443359e-01,1.835223287343978882e-01,8.848243951797485352e-02,-1.003546714782714844e-01,4.540806114673614502e-01,-9.991000406444072723e-03,7.286518812179565430e-03,-2.307309955358505249e-02,-1.441676821559667587e-02,9.842216968536376953e-04,-1.663190126419067383e-01,-1.576707959175109863e-01,2.736393213272094727e-01,1.621920229138689995e-01,9.559105154525300574e-03,2.389776288631340151e+01
-1.974703222513198853e-01,-5.245506018400192261e-02,-1.550241708755493164e-01,1.853299587965011597e-01,8.715096116065979004e-02,-1.041680276393890381e-01,4.461537301540374756e-01,-1.052909437566995621e-02,7.898584008216857910e-03,-2.151639014482498169e-02,-1.699652150273323059e-02,7.304139435291290283e-04,-1.746380180120468140e-01,-1.607632786035537720e-01,2.661904096603393555e-01,1.715166266244100013e-01,1.006831542419400066e-02,2.517078856048510005e+01
-9.049391746520996094e-02,2.924114465713500977e-03,-1.058699786663055420e-01,1.279168426990509033e-01,6.304809451103210449e-02,-1.483801007270812988e-01,2.325718253850936890e-01,-1.299635786563158035e-02,1.140476763248443604e-02,-5.420750379562377930e-02,-2.438874170184135437e-02,-1.488662790507078171e-03,-2.274336516857147217e-01,-9.435914456844329834e-03,1.384682804346084595e-01,1.804755716108689956e-01,1.055268794334249943e-02,2.638171985835629840e+01
-1.870955824851989746e-01,-4.944890737533569336e-02,-1.532258987426757812e-01,1.795430183410644531e-01,8.603442460298538208e-02,-1.084825024008750916e-01,4.299822747707366943e-01,-1.090763323009014130e-02,7.614918053150177002e-03,-2.631653100252151489e-02,-2.004241943359375000e-02,5.299043841660022736e-04,-1.797277480363845825e-01,-1.506792306900024414e-01,2.531647682189941406e-01,1.890832159621639863e-01,1.101343598558869943e-02,2.753358996397160041e+01
-1.834670603275299072e-01,-4.780056327581405640e-02,-1.517943739891052246e-01,1.784465163946151733e-01,8.417524397373199463e-02,-1.125620454549789429e-01,4.222291111946105957e-01,-1.121650170534849167e-02,7.970655336976051331e-03,-2.595084160566329956e-02,-2.079173736274242401e-02,3.696866333484649658e-04,-1.857023388147354126e-01,-1.438230127096176147e-01,2.474274337291717529e-01,1.973533742572169958e-01,1.145171531126370004e-02,2.862928827815920130e+01
-1.774137914180755615e-01,-4.470013827085494995e-02,-1.499464809894561768e-01,1.752453148365020752e-01,8.289337903261184692e-02,-1.121063232421875000e-01,4.117600321769714355e-01,-1.116083189845085144e-02,7.721040397882461548e-03,-2.796334028244018555e-02,-2.259924262762069702e-02,2.219229936599731445e-04,-1.844780445098876953e-01,-1.375467777252197266e-01,2.427208721637725830e-01,2.052992662655589995e-01,1.186862051622999958e-02,2.967155129057490015e+01
-1.738916486501693726e-01,-4.588335007429122925e-02,-1.480627804994583130e-01,1.739351600408554077e-01,8.155107498168945312e-02,-1.140751242637634277e-01,4.045866131782531738e-01,-1.143510267138481140e-02,8.167419582605361938e-03,-2.672631293535232544e-02,-2.260044589638710022e-02,1.360974274575710297e-04,-1.880868971347808838e-01,-1.373341083526611328e-01,2.354799658060073853e-01,2.129335945961429999e-01,1.226519293477009928e-02,3.066298233692529962e+01
