X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-1.771608740091323853e-02,1.274832058697938919e-02,-2.577419765293598175e-02,-6.884406320750713348e-03,-7.639329414814710617e-03,-2.196087501943111420e-02,1.946223434060811996e-03,8.316116407513618469e-03,7.421939074993133545e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.359313540160655975e-02,2.203705348074436188e-02,-2.690054848790168762e-02,2.016200218349695206e-03,-5.481345579028129578e-04,-2.147454395890235901e-02,-1.524683088064193726e-02,2.317804843187332153e-02,7.175313681364059448e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.072716247290372849e-02,3.191620856523513794e-02,-2.652110345661640167e-02,1.185262389481067657e-02,5.401902366429567337e-03,-2.156962826848030090e-02,-3.435837477445602417e-02,3.815468773245811462e-02,6.874006986618041992e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-8.681029081344604492e-03,4.227243736386299133e-02,-2.504156902432441711e-02,2.223484776914119720e-02,1.047944650053977966e-02,-2.209842763841152191e-02,-5.470359325408935547e-02,5.310907587409019470e-02,6.520240008831024170e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-7.249082438647747040e-03,5.296393483877182007e-02,-2.278291992843151093e-02,3.295542672276496887e-02,1.491108909249305725e-02,-2.295449003577232361e-02,-7.593324780464172363e-02,6.796191632747650146e-02,6.134311854839324951e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.720902323722839355e-02,6.071563437581062317e-02,-2.229965664446353912e-02,2.840969711542129517e-02,1.219055056571960449e-02,-3.440770506858825684e-02,-8.306013047695159912e-02,6.293536722660064697e-02,7.887864857912063599e-02,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-2.975608035922050476e-02,6.588603556156158447e-02,-2.399284392595291138e-02,2.575404196977615356e-02,1.168270967900753021e-02,-4.453444853425025940e-02,-9.353627264499664307e-02,5.798385292291641235e-02,1.026080772280693054e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-4.160825163125991821e-02,7.042025774717330933e-02,-2.656939812004566193e-02,2.297583781182765961e-02,1.210877299308776855e-02,-5.352041497826576233e-02,-1.033838093280792236e-01,5.277077481150627136e-02,1.263190358877182007e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-5.256159231066703796e-02,7.463303208351135254e-02,-2.962952479720115662e-02,2.001561783254146576e-02,1.313965022563934326e-02,-6.155302375555038452e-02,-1.124451905488967896e-01,4.738976806402206421e-02,1.492051333189010620e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-6.271386146545410156e-02,7.863105833530426025e-02,-3.294368460774421692e-02,1.698314584791660309e-02,1.460267603397369385e-02,-6.878550350666046143e-02,-1.209163740277290344e-01,4.195120185613632202e-02,1.711037158966064453e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
