X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
5.159722641110420227e-02,-2.112293429672718048e-02,-9.871144592761993408e-02,2.818930335342884064e-02,-7.167629897594451904e-02,-5.010722950100898743e-02,1.341328918933868408e-01,1.935718357563018799e-01,1.197133213281631470e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.267694219946861267e-02,-8.715115487575531006e-03,-9.433817118406295776e-02,4.101471230387687683e-02,-6.828507035970687866e-02,-5.083496123552322388e-02,1.111117675900459290e-01,2.099149227142333984e-01,1.128459721803665161e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.342581495642662048e-02,3.535714000463485718e-03,-8.984758704900741577e-02,5.355274677276611328e-02,-6.506695598363876343e-02,-5.161004513502120972e-02,8.814867585897445679e-02,2.255454063415527344e-01,1.061943247914314270e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.381213128566741943e-02,1.583855412900447845e-02,-8.520495146512985229e-02,6.611993163824081421e-02,-6.208732724189758301e-02,-5.262477695941925049e-02,6.483924388885498047e-02,2.410340011119842529e-01,9.986462444067001343e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.426529422402381897e-02,2.753421291708946228e-02,-8.075411617755889893e-02,7.821428775787353516e-02,-5.900184065103530884e-02,-5.383396893739700317e-02,4.222998023033142090e-02,2.561641633510589600e-01,9.385608136653900146e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
3.289658576250076294e-02,3.097919747233390808e-02,-7.950601726770401001e-02,6.541587412357330322e-02,-6.674525886774063110e-02,-7.427415251731872559e-02,4.142913222312927246e-02,2.382262498140335083e-01,1.279295235872268677e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
2.020067535340785980e-02,3.499452397227287292e-02,-8.183169364929199219e-02,6.206305325031280518e-02,-6.685920804738998413e-02,-8.397506922483444214e-02,3.294883668422698975e-02,2.320412099361419678e-01,1.521978825330734253e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
8.734087459743022919e-03,3.889872878789901733e-02,-8.504404872655868530e-02,5.869444087147712708e-02,-6.588127464056015015e-02,-9.245269745588302612e-02,2.488167211413383484e-02,2.260858118534088135e-01,1.757782399654388428e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.836981857195496559e-03,4.300402104854583740e-02,-8.832035213708877563e-02,5.538559705018997192e-02,-6.392780691385269165e-02,-9.986657649278640747e-02,1.644003018736839294e-02,2.199100255966186523e-01,1.978761851787567139e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.147080771625041962e-02,4.747767746448516846e-02,-9.210661798715591431e-02,5.240425840020179749e-02,-6.164052709937095642e-02,-1.061605364084243774e-01,8.081905543804168701e-03,2.141864299774169922e-01,2.190680950880050659e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
