X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-2.009499445557594299e-02,9.711402468383312225e-03,-3.011138178408145905e-02,-4.609059542417526245e-03,-2.619146183133125305e-02,-3.090571425855159760e-02,1.871567405760288239e-02,2.289105579257011414e-02,8.802749216556549072e-02,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
-1.658480055630207062e-02,1.467763353139162064e-02,-3.808867558836936951e-02,5.989863537251949310e-03,-3.544672951102256775e-02,-3.847345709800720215e-02,2.019698359072208405e-02,5.321817472577095032e-02,1.007738634943962097e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
-1.269172411412000656e-02,1.950875855982303619e-02,-4.620590806007385254e-02,1.713715307414531708e-02,-4.432228207588195801e-02,-4.595081135630607605e-02,2.132526226341724396e-02,8.454436063766479492e-02,1.132323667407035828e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
-8.287381380796432495e-03,2.437957376241683960e-02,-5.430638417601585388e-02,2.871326729655265808e-02,-5.298949405550956726e-02,-5.336382985115051270e-02,2.230004966259002686e-02,1.167667359113693237e-01,1.249913424253463745e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
-3.424866590648889542e-03,2.933807857334613800e-02,-6.231976300477981567e-02,4.071553424000740051e-02,-6.153206899762153625e-02,-6.073477491736412048e-02,2.309812232851982117e-02,1.498189568519592285e-01,1.360106617212295532e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
1.835949253290891647e-03,3.440630808472633362e-02,-7.020577043294906616e-02,5.314360186457633972e-02,-7.000429928302764893e-02,-6.807929277420043945e-02,2.369060367345809937e-02,1.836377680301666260e-01,1.463049799203872681e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
7.444931194186210632e-03,3.959544375538825989e-02,-7.794141024351119995e-02,6.598953157663345337e-02,-7.844350486993789673e-02,-7.540783286094665527e-02,2.406215295195579529e-02,2.181598544120788574e-01,1.559024304151535034e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
1.336096413433551788e-02,4.491005092859268188e-02,-8.551505953073501587e-02,7.923888415098190308e-02,-8.687540888786315918e-02,-8.272705227136611938e-02,2.420901507139205933e-02,2.533215582370758057e-01,1.648365557193756104e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
1.954973489046096802e-02,5.035006627440452576e-02,-9.292257577180862427e-02,9.287276864051818848e-02,-9.531743824481964111e-02,-9.004089981317520142e-02,2.413535118103027344e-02,2.890594601631164551e-01,1.731434017419815063e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
2.598185837268829346e-02,5.591216310858726501e-02,-1.001649051904678345e-01,1.068693399429321289e-01,-1.037810295820236206e-01,-9.735134243965148926e-02,2.385042607784271240e-02,3.253104090690612793e-01,1.808603405952453613e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
