X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
1.124848723411560059e-01,-2.441801689565181732e-02,-2.174832820892333984e-01,1.374862194061279297e-01,-2.415503710508346558e-01,-1.571380943059921265e-01,2.830941081047058105e-01,5.741200447082519531e-01,2.808539569377899170e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
1.202365830540657043e-01,-1.947327144443988800e-02,-2.218455970287322998e-01,1.519362628459930420e-01,-2.486369013786315918e-01,-1.630834788084030151e-01,2.815104722976684570e-01,6.081647872924804688e-01,2.814015150070190430e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
1.280509233474731445e-01,-1.422690786421298981e-02,-2.261705696582794189e-01,1.666984707117080688e-01,-2.561275362968444824e-01,-1.690130233764648438e-01,2.798852324485778809e-01,6.425628662109375000e-01,2.817579507827758789e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
1.359089016914367676e-01,-8.769342675805091858e-03,-2.305254340171813965e-01,1.817860156297683716e-01,-2.639259099960327148e-01,-1.749431788921356201e-01,2.781857550144195557e-01,6.773368716239929199e-01,2.820656597614288330e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
1.438406556844711304e-01,-3.140919841825962067e-03,-2.349406182765960693e-01,1.971769332885742188e-01,-2.719749212265014648e-01,-1.808881759643554688e-01,2.764396667480468750e-01,7.124906778335571289e-01,2.823454737663269043e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
1.787916123867034912e-01,1.512904837727546692e-02,-2.607154846191406250e-01,2.648708522319793701e-01,-3.225925564765930176e-01,-2.131235003471374512e-01,2.882273197174072266e-01,8.753371238708496094e-01,2.944283783435821533e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
1.881325840950012207e-01,2.011001110076904297e-02,-2.665165066719055176e-01,2.803649604320526123e-01,-3.300820291042327881e-01,-2.185372710227966309e-01,2.879132628440856934e-01,9.108296036720275879e-01,2.946833074092864990e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
1.975357234477996826e-01,2.552760019898414612e-02,-2.719841003417968750e-01,2.962069511413574219e-01,-3.380971550941467285e-01,-2.241519093513488770e-01,2.874382138252258301e-01,9.466998577117919922e-01,2.944090664386749268e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
2.068614959716796875e-01,3.120334073901176453e-02,-2.772756814956665039e-01,3.124582767486572266e-01,-3.464931547641754150e-01,-2.299406826496124268e-01,2.866862714290618896e-01,9.829167723655700684e-01,2.940048575401306152e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
2.161404192447662354e-01,3.707479685544967651e-02,-2.824712395668029785e-01,3.290716707706451416e-01,-3.551965355873107910e-01,-2.358800619840621948e-01,2.857207059860229492e-01,1.019430041313171387e+00,2.935441434383392334e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
2.254091501235961914e-01,4.310279712080955505e-02,-2.876229286193847656e-01,3.459985852241516113e-01,-3.641560077667236328e-01,-2.419526278972625732e-01,2.846046090126037598e-01,1.056188583374023438e+00,2.930528521537780762e-01,9.720028643555724823e-01,9.720028643555724823e-01,9.720028643555724823e-01,9.720028643555724823e-01
2.346941530704498291e-01,4.925777018070220947e-02,-2.927663624286651611e-01,3.631986975669860840e-01,-3.733333349227905273e-01,-2.481458634138107300e-01,2.833861708641052246e-01,1.093141913414001465e+00,2.925458252429962158e-01,9.794807943766976610e-01,9.794807943766976610e-01,9.794807943766976610e-01,9.794807943766976610e-01
2.440127730369567871e-01,5.551619082689285278e-02,-2.979255020618438721e-01,3.806385695934295654e-01,-3.826994895935058594e-01,-2.544502317905426025e-01,2.821005880832672119e-01,1.130239009857177734e+00,2.920327484607696533e-01,9.858137940738402882e-01,9.858137940738402882e-01,9.858137940738402882e-01,9.858137940738402882e-01
2.533753514289855957e-01,6.185866147279739380e-02,-3.031165003776550293e-01,3.982897698879241943e-01,-3.922317326068878174e-01,-2.608584165573120117e-01,2.807739078998565674e-01,1.167428731918334961e+00,2.915201783180236816e-01,9.909902424471630500e-01,9.909902424471630500e-01,9.909902424471630500e-01,9.909902424471630500e-01
2.627870738506317139e-01,6.826898455619812012e-02,-3.083494901657104492e-01,4.161272048950195312e-01,-4.019123315811157227e-01,-2.673643827438354492e-01,2.794244587421417236e-01,1.204658269882202148e+00,2.910124957561492920e-01,9.950013154872523469e-01,9.950013154872523469e-01,9.950013154872523469e-01,9.950013154872523469e-01
2.683587670326232910e-01,6.674242764711380005e-02,-3.138218820095062256e-01,4.252489805221557617e-01,-4.174079298973083496e-01,-2.725191116333007812e-01,2.915862500667572021e-01,1.228461384773254395e+00,2.938354313373565674e-01,9.978409878687641843e-01,9.978409878687641843e-01,9.978409878687641843e-01,9.978409878687641843e-01
2.787335216999053955e-01,7.246053963899612427e-02,-3.200722038745880127e-01,4.428534805774688721e-01,-4.263443648815155029e-01,-2.789600491523742676e-01,2.912971675395965576e-01,1.265769481658935547e+00,2.936161160469055176e-01,9.995060279765779487e-01,9.995060279765779487e-01,9.995060279765779487e-01,9.995060279765779487e-01
2.890642583370208740e-01,7.848206907510757446e-02,-3.260331153869628906e-01,4.606554210186004639e-01,-4.357013404369354248e-01,-2.855607867240905762e-01,2.908417284488677979e-01,1.302958965301513672e+00,2.930349707603454590e-01,9.999959863481092670e-01,9.999959863481092670e-01,9.999959863481092670e-01,9.999959863481092670e-01
2.992453277111053467e-01,8.466051518917083740e-02,-3.318339586257934570e-01,4.786892831325531006e-01,-4.453555643558502197e-01,-2.922928929328918457e-01,2.901514172554016113e-01,1.339971542358398438e+00,2.923959791660308838e-01,9.993131776301424907e-01,9.993131776301424907e-01,9.993131776301424907e-01,9.993131776301424907e-01
3.093040883541107178e-01,9.093957394361495972e-02,-3.375409841537475586e-01,4.969056546688079834e-01,-4.552409648895263672e-01,-2.991315126419067383e-01,2.892855405807495117e-01,1.376743316650390625e+00,2.917521595954895020e-01,9.974626561628112675e-01,9.974626561628112675e-01,9.974626561628112675e-01,9.974626561628112675e-01
3.192722499370574951e-01,9.728208184242248535e-02,-3.431969583034515381e-01,5.152547359466552734e-01,-4.653103351593017578e-01,-3.060580193996429443e-01,2.883010506629943848e-01,1.413212418556213379e+00,2.911187112331390381e-01,9.944521853171389703e-01,9.944521853171389703e-01,9.944521853171389703e-01,9.944521853171389703e-01
3.291724622249603271e-01,1.036587879061698914e-01,-3.488301634788513184e-01,5.336939692497253418e-01,-4.755275249481201172e-01,-3.130579888820648193e-01,2.872416973114013672e-01,1.449321985244750977e+00,2.905021011829376221e-01,9.902922007258274650e-01,9.902922007258274650e-01,9.902922007258274650e-01,9.902922007258274650e-01
3.390189409255981445e-01,1.100455597043037415e-01,-3.544589877128601074e-01,5.521872639656066895e-01,-4.858641028404235840e-01,-3.201202154159545898e-01,2.861397564411163330e-01,1.485018014907836914e+00,2.899057865142822266e-01,9.849957675597353912e-01,9.849957675597353912e-01,9.849957675597353912e-01,9.849957675597353912e-01
3.488193750381469727e-01,1.164217144250869751e-01,-3.600944876670837402e-01,5.707026124000549316e-01,-4.962969124317169189e-01,-3.272355198860168457e-01,2.850185334682464600e-01,1.520247936248779297e+00,2.893307805061340332e-01,9.785785320146864752e-01,9.785785320146864752e-01,9.785785320146864752e-01,9.785785320146864752e-01
3.585764169692993164e-01,1.227690726518630981e-01,-3.657425045967102051e-01,5.892112851142883301e-01,-5.068070292472839355e-01,-3.343955874443054199e-01,2.838954627513885498e-01,1.554959535598754883e+00,2.887763679027557373e-01,9.710586671848775442e-01,9.710586671848775442e-01,9.710586671848775442e-01,9.710586671848775442e-01
3.620640635490417480e-01,1.224950253963470459e-01,-3.709410429000854492e-01,5.982670187950134277e-01,-5.209957361221313477e-01,-3.404046893119812012e-01,2.923798561096191406e-01,1.574831724166870117e+00,2.936383187770843506e-01,9.624568135101962962e-01,9.624568135101962962e-01,9.624568135101962962e-01,9.624568135101962962e-01
3.727213740348815918e-01,1.279349923133850098e-01,-3.774814009666442871e-01,6.160374283790588379e-01,-5.306551456451416016e-01,-3.472978174686431885e-01,2.926183044910430908e-01,1.608510971069335938e+00,2.931164503097534180e-01,9.527960139951898721e-01,9.527960139951898721e-01,9.527960139951898721e-01,9.527960139951898721e-01
3.831785321235656738e-01,1.335412710905075073e-01,-3.837153017520904541e-01,6.338399648666381836e-01,-5.406332015991210938e-01,-3.543013930320739746e-01,2.926335632801055908e-01,1.641572237014770508e+00,2.923626005649566650e-01,9.421016444072416451e-01,9.421016444072416451e-01,9.421016444072416451e-01,9.421016444072416451e-01
3.933713436126708984e-01,1.391954869031906128e-01,-3.897521197795867920e-01,6.516720652580261230e-01,-5.508180260658264160e-01,-3.613799214363098145e-01,2.924179136753082275e-01,1.673959612846374512e+00,2.915933132171630859e-01,9.304013386706881938e-01,9.304013386706881938e-01,9.304013386706881938e-01,9.304013386706881938e-01
4.033280909061431885e-01,1.448461115360260010e-01,-3.956494331359863281e-01,6.694742441177368164e-01,-5.611425042152404785e-01,-3.685024976730346680e-01,2.920431494712829590e-01,1.705629944801330566e+00,2.908469736576080322e-01,9.177249096821431529e-01,9.177249096821431529e-01,9.177249096821431529e-01,9.177249096821431529e-01
4.130765199661254883e-01,1.504579037427902222e-01,-4.014434218406677246e-01,6.871889233589172363e-01,-5.715559720993041992e-01,-3.756436705589294434e-01,2.915734052658081055e-01,1.736546754837036133e+00,2.901354432106018066e-01,9.041042657801666715e-01,9.041042657801666715e-01,9.041042657801666715e-01,9.041042657801666715e-01
4.226343035697937012e-01,1.560032218694686890e-01,-4.071567654609680176e-01,7.047657966613769531e-01,-5.820164084434509277e-01,-3.827819824218750000e-01,2.910579442977905273e-01,1.766679406166076660e+00,2.894648313522338867e-01,8.895733231096409899e-01,8.895733231096409899e-01,8.895733231096409899e-01,8.895733231096409899e-01
4.320105016231536865e-01,1.614597886800765991e-01,-4.128027558326721191e-01,7.221608757972717285e-01,-5.924882888793945312e-01,-3.898983299732208252e-01,2.905339002609252930e-01,1.796000719070434570e+00,2.888390719890594482e-01,8.741679141277430842e-01,8.741679141277430842e-01,8.741679141277430842e-01,8.741679141277430842e-01
4.412076175212860107e-01,1.668094992637634277e-01,-4.183875918388366699e-01,7.393344044685363770e-01,-6.029405593872070312e-01,-3.969752192497253418e-01,2.900298833847045898e-01,1.824488401412963867e+00,2.882607281208038330e-01,8.579256925042896276e-01,8.579256925042896276e-01,8.579256925042896276e-01,8.579256925042896276e-01
4.502233564853668213e-01,1.720375865697860718e-01,-4.239124953746795654e-01,7.562496066093444824e-01,-6.133450865745544434e-01,-4.039959609508514404e-01,2.895676493644714355e-01,1.852122426033020020e+00,2.877317368984222412e-01,8.408860346744080339e-01,8.408860346744080339e-01,8.408860346744080339e-01,8.408860346744080339e-01
4.498331844806671143e-01,1.706310063600540161e-01,-4.265851080417633057e-01,7.611552476882934570e-01,-6.214334964752197266e-01,-4.130851626396179199e-01,2.935299873352050781e-01,1.862373471260070801e+00,2.954985499382019043e-01,8.230899383060115149e-01,8.230899383060115149e-01,8.230899383060115149e-01,8.230899383060115149e-01
4.587453305721282959e-01,1.752987802028656006e-01,-4.326135516166687012e-01,7.766317725181579590e-01,-6.314988732337951660e-01,-4.187433421611785889e-01,2.943766117095947266e-01,1.887597799301147461e+00,2.949956655502319336e-01,8.045799179483850150e-01,8.045799179483850150e-01,8.045799179483850150e-01,8.045799179483850150e-01
4.675371050834655762e-01,1.797797232866287231e-01,-4.384474754333496094e-01,7.918635606765747070e-01,-6.414081454277038574e-01,-4.245339035987854004e-01,2.952104806900024414e-01,1.912142515182495117e+00,2.944221794605255127e-01,7.853998981313572436e-01,7.853998981313572436e-01,7.853998981313572436e-01,7.853998981313572436e-01
4.761394858360290527e-01,1.840875744819641113e-01,-4.440909922122955322e-01,8.068216443061828613e-01,-6.511642336845397949e-01,-4.303933382034301758e-01,2.960102558135986328e-01,1.935938596725463867e+00,2.938303947448730469e-01,7.655951041870161511e-01,7.655951041870161511e-01,7.655951041870161511e-01,7.655951041870161511e-01
4.845129549503326416e-01,1.882345080375671387e-01,-4.495486617088317871e-01,8.214671015739440918e-01,-6.607604622840881348e-01,-4.362667202949523926e-01,2.967749238014221191e-01,1.958935022354125977e+00,2.932459414005279541e-01,7.452119510677520653e-01,7.452119510677520653e-01,7.452119510677520653e-01,7.452119510677520653e-01
4.926304519176483154e-01,1.922283321619033813e-01,-4.548259675502777100e-01,8.357609510421752930e-01,-6.701817512512207031e-01,-4.421069622039794922e-01,2.975100874900817871e-01,1.981093287467956543e+00,2.926867604255676270e-01,7.242979304355741110e-01,7.242979304355741110e-01,7.242979304355741110e-01,7.242979304355741110e-01
5.004729628562927246e-01,1.960739940404891968e-01,-4.599279761314392090e-01,8.496667146682739258e-01,-6.794080138206481934e-01,-4.478735923767089844e-01,2.982218861579895020e-01,2.002386569976806641e+00,2.921656966209411621e-01,7.029014962981533499e-01,7.029014962981533499e-01,7.029014962981533499e-01,7.029014962981533499e-01
5.080268979072570801e-01,1.997752934694290161e-01,-4.648587703704833984e-01,8.631510734558105469e-01,-6.884158849716186523e-01,-4.535319805145263672e-01,2.989154458045959473e-01,2.022796392440795898e+00,2.916920185089111328e-01,6.810719494669207341e-01,6.810719494669207341e-01,6.810719494669207341e-01,6.810719494669207341e-01
5.152823328971862793e-01,2.033353596925735474e-01,-4.696214199066162109e-01,8.761847019195556641e-01,-6.971803903579711914e-01,-4.590525925159454346e-01,2.995941042900085449e-01,2.042311668395996094e+00,2.912716269493103027e-01,6.588593211117736992e-01,6.588593211117736992e-01,6.588593211117736992e-01,6.588593211117736992e-01
5.222319364547729492e-01,2.067577689886093140e-01,-4.742173254489898682e-01,8.887422084808349609e-01,-7.056763768196105957e-01,-4.644099473953247070e-01,3.002581000328063965e-01,2.060927391052246094e+00,2.909080982208251953e-01,6.363142556855732046e-01,6.363142556855732046e-01,6.363142556855732046e-01,6.363142556855732046e-01
