X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
1.671814918518066406e+00,4.971482455730438232e-01,-1.860358357429504395e+00,-7.715726494789123535e-01,-1.398137331008911133e+00,1.908055782318115234e+00,-9.973365783691406250e+00,-1.048299193382263184e+00,1.065115571022033691e+00,-3.322422027587890625e+00,-4.901836395263671875e+00,-7.525432109832763672e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
1.784797430038452148e+00,4.678560197353363037e-01,-2.114488363265991211e+00,-7.624754905700683594e-01,-1.439746022224426270e+00,2.027749300003051758e+00,-1.081425380706787109e+01,-1.639141082763671875e+00,1.228125691413879395e+00,-3.635145664215087891e+00,-3.798120021820068359e+00,-9.727436065673828125e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
1.806867003440856934e+00,4.583719670772552490e-01,-2.249764680862426758e+00,-8.165996074676513672e-01,-1.454363107681274414e+00,2.087975025177001953e+00,-1.127180194854736328e+01,-1.927040100097656250e+00,1.382171630859375000e+00,-3.662011623382568359e+00,-3.650576353073120117e+00,-9.781828880310058594e+00,3.208841668845446304e-01,6.800159835931912644e-01,2.479280973747593819e+00
1.819670557975769043e+00,4.566330015659332275e-01,-2.350943803787231445e+00,-8.825438618659973145e-01,-1.455503225326538086e+00,2.120460271835327148e+00,-1.167581558227539062e+01,-2.145924091339111328e+00,1.549612998962402344e+00,-3.694392681121826172e+00,-3.543979644775390625e+00,-9.302845001220703125e+00,3.542008329823561619e-01,7.254356527383687414e-01,2.598766558013919425e+00
1.803358078002929688e+00,4.443168044090270996e-01,-2.424092769622802734e+00,-1.010919809341430664e+00,-1.447752594947814941e+00,2.154961585998535156e+00,-1.199921798706054688e+01,-2.336032390594482422e+00,1.745831012725830078e+00,-3.405616760253906250e+00,-3.770166635513305664e+00,-9.413879394531250000e+00,3.849559263389800146e-01,7.665329234102449263e-01,2.721579891448806521e+00
1.826631784439086914e+00,4.023332297801971436e-01,-2.488819122314453125e+00,-1.081646442413330078e+00,-1.436081290245056152e+00,2.143737792968750000e+00,-1.192093849182128906e+01,-2.513881683349609375e+00,1.756152868270874023e+00,-2.329819679260253906e+00,-3.710988998413085938e+00,-1.027513217926025391e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
1.774620413780212402e+00,3.771687150001525879e-01,-2.443805217742919922e+00,-1.120062589645385742e+00,-1.411359190940856934e+00,2.123413801193237305e+00,-1.158651065826416016e+01,-2.497967481613159180e+00,1.761431455612182617e+00,-1.395109057426452637e+00,-4.097573757171630859e+00,-1.102062797546386719e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
1.769668340682983398e+00,3.569881916046142578e-01,-2.499172449111938477e+00,-1.145292043685913086e+00,-1.388202786445617676e+00,2.105101346969604492e+00,-1.151417446136474609e+01,-2.612815141677856445e+00,1.784270524978637695e+00,-6.088192462921142578e-01,-4.119872570037841797e+00,-1.132572841644287109e+01,4.133465203685712797e-01,8.037194021811097100e-01,2.839371800734650897e+00
1.771855235099792480e+00,3.186332881450653076e-01,-2.624947071075439453e+00,-1.224701881408691406e+00,-1.382333874702453613e+00,2.129434108734130859e+00,-1.130825901031494141e+01,-2.914508342742919922e+00,1.832029342651367188e+00,1.437760710716247559e+00,-4.336413383483886719e+00,-1.218248939514160156e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
1.724532485008239746e+00,2.937093973159790039e-01,-2.625968217849731445e+00,-1.327447295188903809e+00,-1.379167795181274414e+00,2.187494039535522461e+00,-1.078160953521728516e+01,-2.967793941497802734e+00,1.846848011016845703e+00,3.836840867996215820e+00,-5.182853698730468750e+00,-1.279043006896972656e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
1.736074924468994141e+00,2.720713019371032715e-01,-2.695967435836791992e+00,-1.225890755653381348e+00,-1.334604859352111816e+00,2.137597084045410156e+00,-1.108881855010986328e+01,-3.005383968353271484e+00,1.773383736610412598e+00,3.720802545547485352e+00,-4.608502388000488281e+00,-1.208989715576171875e+01,4.637473881937204112e-01,8.678131849437419332e-01,3.037371083515849612e+00
1.648720741271972656e+00,2.825918197631835938e-01,-2.620786666870117188e+00,-1.298779249191284180e+00,-1.342803478240966797e+00,2.174498558044433594e+00,-1.093014335632324219e+01,-2.863709449768066406e+00,1.902644872665405273e+00,4.410210609436035156e+00,-5.486730575561523438e+00,-1.190688896179199219e+01,4.860801285313018361e-01,8.953614201379610504e-01,3.106756271121852819e+00
1.614980697631835938e+00,2.707774341106414795e-01,-2.628455162048339844e+00,-1.306664347648620605e+00,-1.356833338737487793e+00,2.190782546997070312e+00,-1.100179481506347656e+01,-2.843767166137695312e+00,1.918656587600708008e+00,5.415455818176269531e+00,-5.709573745727539062e+00,-1.123217010498046875e+01,5.066958659831151124e-01,9.202881281181275464e-01,3.150443051133666739e+00
1.540210962295532227e+00,2.813226580619812012e-01,-2.536578178405761719e+00,-1.302200794219970703e+00,-1.342794418334960938e+00,2.191658973693847656e+00,-1.106754398345947266e+01,-2.619960308074951172e+00,2.019801616668701172e+00,5.381245613098144531e+00,-6.087301254272460938e+00,-9.922668457031250000e+00,5.257265845489574874e-01,9.428427335726029535e-01,3.166497993836379088e+00
1.507011175155639648e+00,3.134976029396057129e-01,-2.472327947616577148e+00,-1.293079257011413574e+00,-1.338238596916198730e+00,2.202464818954467773e+00,-1.108045101165771484e+01,-2.483374595642089844e+00,2.091361045837402344e+00,4.312152862548828125e+00,-6.339244365692138672e+00,-9.427966117858886719e+00,5.432941561107742512e-01,9.632509940467524068e-01,3.154081401875396651e+00
1.472636461257934570e+00,3.249057233333587646e-01,-2.401831626892089844e+00,-1.247809648513793945e+00,-1.315351963043212891e+00,2.204922676086425781e+00,-1.101662635803222656e+01,-2.320468902587890625e+00,2.062412261962890625e+00,3.901602268218994141e+00,-6.425700187683105469e+00,-8.339172363281250000e+00,5.432941561107742512e-01,9.632509940467524068e-01,3.154081401875396651e+00
1.426337361335754395e+00,4.157576858997344971e-01,-2.318123340606689453e+00,-1.368835091590881348e+00,-1.302590489387512207e+00,2.241087675094604492e+00,-1.036614990234375000e+01,-2.586812496185302734e+00,2.099474191665649414e+00,2.518340587615966797e+00,-7.103614330291748047e+00,-6.679054737091064453e+00,5.595110646643101093e-01,9.817171431344571264e-01,3.253649520776651816e+00
1.366488218307495117e+00,4.924711883068084717e-01,-2.167093038558959961e+00,-1.431952834129333496e+00,-1.278728365898132324e+00,2.197725296020507812e+00,-9.245939254760742188e+00,-3.050820112228393555e+00,1.946865677833557129e+00,1.350876688957214355e+00,-7.634039878845214844e+00,-4.712093353271484375e+00,5.744809713402420082e-01,9.984257654389580017e-01,3.334574909571044188e+00
1.402555704116821289e+00,6.408722400665283203e-01,-2.144176244735717773e+00,-1.514663934707641602e+00,-1.453318953514099121e+00,2.179670095443725586e+00,-9.548285484313964844e+00,-3.191836833953857422e+00,1.934109926223754883e+00,-1.817714452743530273e+00,-8.290256500244140625e+00,-3.633111476898193359e+00,5.883001491752233303e-01,1.013544639775768808e+00,3.349297234049767535e+00
1.430943489074707031e+00,6.648698449134826660e-01,-2.172309398651123047e+00,-1.541623353958129883e+00,-1.549490571022033691e+00,2.179997444152832031e+00,-9.893764495849609375e+00,-3.179337501525878906e+00,2.188048362731933594e+00,-2.638446331024169922e+00,-8.051469802856445312e+00,-3.934377670288085938e+00,5.959972598912702813e-01,1.021831700765320150e+00,3.326766893368378053e+00
1.417910695075988770e+00,6.591391563415527344e-01,-2.156418323516845703e+00,-1.529233217239379883e+00,-1.510365605354309082e+00,2.175654888153076172e+00,-9.735370635986328125e+00,-3.197247743606567383e+00,2.075152873992919922e+00,-2.256456375122070312e+00,-8.138474464416503906e+00,-3.598264694213867188e+00,5.959972598912702813e-01,1.021831700765320150e+00,3.326766893368378053e+00
1.422725677490234375e+00,6.852096319198608398e-01,-2.138693332672119141e+00,-1.584786176681518555e+00,-1.592718243598937988e+00,2.198568344116210938e+00,-9.780812263488769531e+00,-3.259719610214233398e+00,2.290310382843017578e+00,-3.013016462326049805e+00,-8.088220596313476562e+00,-4.047740936279296875e+00,6.010568889623842948e-01,1.027224810944594280e+00,3.299238356227250257e+00
1.443011522293090820e+00,6.667920351028442383e-01,-2.173676013946533203e+00,-1.580392599105834961e+00,-1.590626597404479980e+00,2.181247711181640625e+00,-1.001595592498779297e+01,-3.143949508666992188e+00,2.320511341094970703e+00,-3.181938409805297852e+00,-7.988125801086425781e+00,-4.776072978973388672e+00,6.128328691283350116e-01,1.039603180691792472e+00,3.193892417642267834e+00
1.448668599128723145e+00,6.657125949859619141e-01,-2.202388048171997070e+00,-1.607806205749511719e+00,-1.607802152633666992e+00,2.203263759613037109e+00,-1.014095973968505859e+01,-3.164234638214111328e+00,2.378177881240844727e+00,-3.630545377731323242e+00,-8.073124885559082031e+00,-5.731215000152587891e+00,6.128328691283350116e-01,1.039603180691792472e+00,3.193892417642267834e+00
1.472485661506652832e+00,6.075509786605834961e-01,-2.241558313369750977e+00,-1.621493101119995117e+00,-1.566254258155822754e+00,2.159824609756469727e+00,-1.044443988800048828e+01,-2.882195472717285156e+00,2.331464767456054688e+00,-3.420771598815917969e+00,-7.981864452362060547e+00,-7.944474220275878906e+00,6.237034043687251783e-01,1.050803488318347023e+00,2.954456601481089795e+00
1.509609460830688477e+00,5.634849071502685547e-01,-2.315235137939453125e+00,-1.673810601234436035e+00,-1.576173067092895508e+00,2.210220098495483398e+00,-1.059164714813232422e+01,-2.925333976745605469e+00,2.262691497802734375e+00,-3.384992599487304688e+00,-7.853516578674316406e+00,-1.195942115783691406e+01,6.337381271907550628e-01,9.061827631317836973e-01,2.704615206220409185e+00
1.528157830238342285e+00,5.393199920654296875e-01,-2.324714183807373047e+00,-1.698886871337890625e+00,-1.588789701461791992e+00,2.247360944747924805e+00,-1.041493511199951172e+01,-3.042358160018920898e+00,2.149766445159912109e+00,-2.788423299789428711e+00,-7.731047630310058594e+00,-1.396677970886230469e+01,6.430013836855363873e-01,6.571831894990852740e-01,2.451467108780941651e+00
1.537812471389770508e+00,4.995040297508239746e-01,-2.316360950469970703e+00,-1.705034136772155762e+00,-1.575156450271606445e+00,2.257396459579467773e+00,-1.007329082489013672e+01,-3.124290227890014648e+00,2.055793762207031250e+00,-1.214104413986206055e+00,-7.591289043426513672e+00,-1.519931221008300781e+01,6.515524412376801910e-01,4.318792960200049103e-01,2.203049336049673013e+00
1.572249531745910645e+00,4.364264607429504395e-01,-2.371234416961669922e+00,-1.719545364379882812e+00,-1.558023333549499512e+00,2.278462886810302734e+00,-9.527396202087402344e+00,-3.349393606185913086e+00,1.886973500251770020e+00,1.500222682952880859e+00,-7.390454769134521484e+00,-1.677516937255859375e+01,6.594460627381985018e-01,2.280158710441820835e-01,1.966881901751934114e+00
1.547079443931579590e+00,4.233749508857727051e-01,-2.346708536148071289e+00,-1.724391222000122070e+00,-1.503630399703979492e+00,2.310970783233642578e+00,-9.426623344421386719e+00,-3.241819381713867188e+00,1.841118097305297852e+00,3.000854969024658203e+00,-7.574873924255371094e+00,-1.612432098388671875e+01,6.594460627381985018e-01,2.280158710441820835e-01,1.966881901751934114e+00
1.624266743659973145e+00,3.641873896121978760e-01,-2.470479011535644531e+00,-1.669229626655578613e+00,-1.492811679840087891e+00,2.295560359954833984e+00,-9.323558807373046875e+00,-3.279601573944091797e+00,1.729267120361328125e+00,4.321587562561035156e+00,-7.176722049713134766e+00,-1.641878700256347656e+01,6.604855472364479230e-01,2.014774298595700397e-01,1.924014223577654947e+00
1.598654270172119141e+00,3.483044207096099854e-01,-2.438549518585205078e+00,-1.640501618385314941e+00,-1.456234693527221680e+00,2.292364835739135742e+00,-9.437793731689453125e+00,-3.115008115768432617e+00,1.753853082656860352e+00,5.108470439910888672e+00,-7.194644927978515625e+00,-1.527668857574462891e+01,6.604855472364479230e-01,2.014774298595700397e-01,1.924014223577654947e+00
1.635761260986328125e+00,2.577379345893859863e-01,-2.515379190444946289e+00,-1.585615634918212891e+00,-1.421869039535522461e+00,2.297529697418212891e+00,-9.556202888488769531e+00,-2.830595970153808594e+00,1.629473209381103516e+00,7.767995834350585938e+00,-6.838710308074951172e+00,-1.288353729248046875e+01,6.667328407252730571e-01,4.355079680170832745e-02,1.674685895662450186e+00
1.550657987594604492e+00,1.693453788757324219e-01,-2.469289064407348633e+00,-1.568118453025817871e+00,-1.373677015304565430e+00,2.307996749877929688e+00,-9.710449218750000000e+00,-2.541283607482910156e+00,1.427312970161437988e+00,1.072173500061035156e+01,-6.590339183807373047e+00,-8.709890365600585938e+00,6.734593334530968312e-01,-1.233581200841809139e-01,1.425877456940652266e+00
1.438866615295410156e+00,1.105776652693748474e-01,-2.355304956436157227e+00,-1.510726809501647949e+00,-1.346364021301269531e+00,2.256968736648559570e+00,-9.778622627258300781e+00,-2.476888179779052734e+00,1.290395140647888184e+00,1.273822212219238281e+01,-6.105884075164794922e+00,-4.957233905792236328e+00,6.796686695012651436e-01,-2.743835652025469751e-01,1.218456283501290871e+00
1.334347724914550781e+00,7.359031587839126587e-02,-2.180972576141357422e+00,-1.395298600196838379e+00,-1.314820528030395508e+00,2.156695604324340820e+00,-9.515931129455566406e+00,-2.397063732147216797e+00,1.264613270759582520e+00,1.381933975219726562e+01,-5.682150840759277344e+00,-2.011053085327148438e+00,6.854006117519690910e-01,-4.110371498133345569e-01,1.048702925945488973e+00
1.261024951934814453e+00,3.179628401994705200e-02,-2.086320638656616211e+00,-1.364341020584106445e+00,-1.257882833480834961e+00,2.067742109298706055e+00,-8.706878662109375000e+00,-2.495776176452636719e+00,1.260705947875976562e+00,1.423512935638427734e+01,-5.338945865631103516e+00,-1.066626787185668945e+00,6.906918608305562257e-01,-5.346863992493664508e-01,9.122178037926862437e-01
1.184596419334411621e+00,9.888084232807159424e-02,-1.877645254135131836e+00,-1.345615625381469727e+00,-1.201345324516296387e+00,2.021155595779418945e+00,-8.714774131774902344e+00,-2.363134860992431641e+00,1.291440725326538086e+00,1.308224391937255859e+01,-5.134268760681152344e+00,5.478013753890991211e-01,6.906918608305562257e-01,-5.346863992493664508e-01,9.122178037926862437e-01
1.156139016151428223e+00,1.740019321441650391e-01,-1.803393602371215820e+00,-1.356569290161132812e+00,-1.212045550346374512e+00,1.997347831726074219e+00,-8.593034744262695312e+00,-2.542237758636474609e+00,1.361122369766235352e+00,1.185330772399902344e+01,-5.197131633758544922e+00,1.714015245437622070e+00,6.955763284767549903e-01,-6.465698955645292623e-01,1.111470156105549556e+00
8.568353652954101562e-01,4.609719812870025635e-01,-1.020809769630432129e+00,-1.493587255477905273e+00,-1.294861912727355957e+00,1.806090593338012695e+00,-6.146911144256591797e+00,-2.681022167205810547e+00,1.201057076454162598e+00,7.529961585998535156e+00,-5.456986904144287109e+00,4.672006607055664062e+00,7.000852288917456256e-01,-7.478051605694073789e-01,1.248886030483932652e+00
7.463191747665405273e-01,6.424504518508911133e-01,-7.818883657455444336e-01,-1.638682723045349121e+00,-1.487873435020446777e+00,1.582702755928039551e+00,-5.867172718048095703e+00,-2.509132862091064453e+00,1.018402338027954102e+00,6.711642265319824219e+00,-5.911683082580566406e+00,2.839955329895019531e+00,7.018872286426885987e-01,-7.876876206627076993e-01,1.291667015616238645e+00
1.053526759147644043e+00,1.088639736175537109e+00,-7.621581554412841797e-01,-2.136122226715087891e+00,-1.942408680915832520e+00,1.633584976196289062e+00,-7.063740253448486328e+00,-1.653482913970947266e+00,1.754341840744018555e+00,3.527568817138671875e+00,-2.290134668350219727e+00,7.049167633056640625e+00,7.018872286426885987e-01,-7.876876206627076993e-01,1.291667015616238645e+00
1.104737997055053711e+00,1.237236261367797852e+00,-8.033713102340698242e-01,-2.325707912445068359e+00,-2.126716136932373047e+00,1.706428170204162598e+00,-7.264830589294433594e+00,-1.449073314666748047e+00,1.846531152725219727e+00,4.017432212829589844e+00,-1.301701545715332031e+00,7.812587738037109375e+00,7.042474770884852298e-01,-8.394069038904538038e-01,1.337766131615112597e+00
1.164892792701721191e+00,1.362448453903198242e+00,-9.346088767051696777e-01,-2.386875391006469727e+00,-2.346452951431274414e+00,1.611550450325012207e+00,-7.125461101531982422e+00,-2.098268985748291016e+00,1.869531154632568359e+00,2.786957263946533203e+00,9.501397609710693359e-03,7.930518150329589844e+00,7.080897123899398959e-01,-9.222914548970256865e-01,1.390413643265741683e+00
1.242960214614868164e+00,1.533258438110351562e+00,-9.229084849357604980e-01,-2.487699031829833984e+00,-2.537502527236938477e+00,1.641163587570190430e+00,-6.959170341491699219e+00,-2.113922119140625000e+00,1.700341701507568359e+00,2.697453022003173828e+00,8.153462409973144531e-01,7.542677879333496094e+00,7.116365401711297611e-01,-9.972884161008578330e-01,1.416993575817462769e+00
1.328021168708801270e+00,1.757354736328125000e+00,-9.286574721336364746e-01,-2.655406236648559570e+00,-2.826476812362670898e+00,1.699490666389465332e+00,-6.983687400817871094e+00,-2.086130619049072266e+00,1.400887608528137207e+00,1.472348451614379883e+00,1.343734979629516602e+00,7.248518943786621094e+00,7.116365401711297611e-01,-9.972884161008578330e-01,1.416993575817462769e+00
1.271282672882080078e+00,1.909816622734069824e+00,-9.318195581436157227e-01,-3.001602888107299805e+00,-3.057245254516601562e+00,1.666913747787475586e+00,-6.762976646423339844e+00,-1.688230395317077637e+00,1.072324633598327637e+00,-2.608745813369750977e+00,1.543313980102539062e+00,6.945740699768066406e+00,7.149107139369165198e-01,-1.065149721053481935e+00,1.463062908366953740e+00
1.285883784294128418e+00,2.024232149124145508e+00,-9.582445621490478516e-01,-3.079509496688842773e+00,-3.230379819869995117e+00,1.621674299240112305e+00,-6.553598880767822266e+00,-1.599756836891174316e+00,1.020210027694702148e+00,-5.155005455017089844e+00,1.600347995758056641e+00,6.825315952301025391e+00,7.179331153603263349e-01,-1.126551833237157352e+00,1.486450833949423567e+00
1.302923679351806641e+00,2.137503862380981445e+00,-9.921519160270690918e-01,-3.228619813919067383e+00,-3.398222446441650391e+00,1.625133037567138672e+00,-6.482058525085449219e+00,-1.575013160705566406e+00,1.075307130813598633e+00,-6.734195232391357422e+00,1.694370865821838379e+00,7.043570995330810547e+00,7.207231462033463210e-01,-1.182110839274743030e+00,1.493654190001287185e+00
1.339157104492187500e+00,2.244844198226928711e+00,-1.015937089920043945e+00,-3.303942203521728516e+00,-3.566365957260131836e+00,1.618442416191101074e+00,-6.440055847167968750e+00,-1.598635554313659668e+00,1.099944949150085449e+00,-7.345051765441894531e+00,1.908577203750610352e+00,7.372177600860595703e+00,7.232986706822777112e-01,-1.232382758767165631e+00,1.489982052167579285e+00
1.360203862190246582e+00,2.306630134582519531e+00,-1.027745723724365234e+00,-3.363876819610595703e+00,-3.660395383834838867e+00,1.624913215637207031e+00,-6.449439525604248047e+00,-1.611562371253967285e+00,1.103926062583923340e+00,-7.479213714599609375e+00,2.058586120605468750e+00,7.631253242492675781e+00,7.256761786813373805e-01,-1.277870643598575828e+00,1.480232325515577596e+00
1.452493667602539062e+00,2.529641151428222656e+00,-1.047222256660461426e+00,-3.571033716201782227e+00,-3.993244647979736328e+00,1.664643049240112305e+00,-6.549690723419189453e+00,-1.683551311492919922e+00,1.044445514678955078e+00,-6.927369117736816406e+00,2.688048124313354492e+00,8.546110153198242188e+00,7.256761786813373805e-01,-1.277870643598575828e+00,1.480232325515577596e+00
