X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-3.041830301284790039e+00,-1.485334634780883789e+00,1.749445676803588867e+00,4.708118140697479248e-01,-1.242763519287109375e+00,-2.133297204971313477e+00,-1.147725391387939453e+01,-1.462871193885803223e+00,7.849378585815429688e-01,-8.932172775268554688e+00,-2.790248870849609375e+00,-4.779577255249023438e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-3.204878568649291992e+00,-1.590535640716552734e+00,1.769736528396606445e+00,3.954142928123474121e-01,-1.249720692634582520e+00,-2.321462869644165039e+00,-1.215639305114746094e+01,-1.470450520515441895e+00,1.088798403739929199e+00,-8.820596694946289062e+00,-2.685271978378295898e+00,-6.063128948211669922e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-3.301650762557983398e+00,-1.660874724388122559e+00,1.754869937896728516e+00,2.542368769645690918e-01,-1.208047151565551758e+00,-2.416871309280395508e+00,-1.263801574707031250e+01,-1.777983665466308594e+00,1.306002259254455566e+00,-7.994374275207519531e+00,-2.556272506713867188e+00,-6.423579692840576172e+00,3.208841668845446304e-01,6.800159835931912644e-01,2.479280973747593819e+00
-3.369360446929931641e+00,-1.718412518501281738e+00,1.757368803024291992e+00,1.019524633884429932e-01,-1.163155078887939453e+00,-2.440028905868530273e+00,-1.262267398834228516e+01,-2.305640935897827148e+00,1.364951491355895996e+00,-6.116224765777587891e+00,-2.891826629638671875e+00,-7.064617156982421875e+00,3.542008329823561619e-01,7.254356527383687414e-01,2.598766558013919425e+00
-3.477101087570190430e+00,-1.805683970451354980e+00,1.812322378158569336e+00,-7.295589148998260498e-02,-1.147094368934631348e+00,-2.480443239212036133e+00,-1.215660667419433594e+01,-2.652799606323242188e+00,1.394953131675720215e+00,-3.513849020004272461e+00,-3.647409677505493164e+00,-8.605134963989257812e+00,3.849559263389800146e-01,7.665329234102449263e-01,2.721579891448806521e+00
-3.551583290100097656e+00,-1.878454804420471191e+00,1.835580348968505859e+00,-2.177040874958038330e-01,-1.174175143241882324e+00,-2.540481090545654297e+00,-1.218036556243896484e+01,-2.693979978561401367e+00,1.326853394508361816e+00,-2.307369232177734375e+00,-3.906736850738525391e+00,-9.765308380126953125e+00,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-3.581471920013427734e+00,-1.900285601615905762e+00,1.829831123352050781e+00,-2.558054625988006592e-01,-1.166738748550415039e+00,-2.577656745910644531e+00,-1.219747161865234375e+01,-2.689111471176147461e+00,1.316642165184020996e+00,-1.906934976577758789e+00,-3.939196348190307617e+00,-1.023980236053466797e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-3.641652584075927734e+00,-1.897900819778442383e+00,1.830690503120422363e+00,-2.493857741355895996e-01,-1.004778981208801270e+00,-2.648059606552124023e+00,-1.166531085968017578e+01,-2.755743741989135742e+00,1.346755027770996094e+00,-2.772773504257202148e-01,-4.148798465728759766e+00,-1.157589054107666016e+01,4.133465203685712797e-01,8.037194021811097100e-01,2.839371800734650897e+00
-3.771614551544189453e+00,-1.959198117256164551e+00,1.879977941513061523e+00,-2.292212694883346558e-01,-7.622537016868591309e-01,-2.805901288986206055e+00,-1.152992248535156250e+01,-2.708225250244140625e+00,1.439037799835205078e+00,1.187361955642700195e+00,-4.351067066192626953e+00,-1.303327178955078125e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-3.864814758300781250e+00,-2.100824356079101562e+00,1.949367284774780273e+00,-1.143595874309539795e-01,-3.754554390907287598e-01,-3.000217437744140625e+00,-1.159887409210205078e+01,-2.735121011734008789e+00,1.779797077178955078e+00,2.447326421737670898e+00,-4.945516109466552734e+00,-1.339004325866699219e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-3.887461662292480469e+00,-2.091272354125976562e+00,1.957084774971008301e+00,-1.290131360292434692e-01,-3.018486499786376953e-01,-3.025289297103881836e+00,-1.163164424896240234e+01,-2.713212013244628906e+00,1.789183259010314941e+00,2.765272378921508789e+00,-4.927530765533447266e+00,-1.334446811676025391e+01,4.637473881937204112e-01,8.678131849437419332e-01,3.037371083515849612e+00
