X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
1.681163072586059570e+00,-1.223765254020690918e+00,-1.525377035140991211e+00,-1.691001415252685547e+00,6.793565750122070312e-01,5.322834253311157227e-01,-1.940823078155517578e+00,2.665238976478576660e-01,8.861950635910034180e-01,-3.830872058868408203e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
1.238354802131652832e+00,-1.823434352874755859e+00,-1.516897559165954590e+00,-1.485711693763732910e+00,9.452953934669494629e-01,-1.499249339103698730e-01,-2.069198131561279297e+00,2.610829472541809082e-02,1.113914251327514648e+00,-3.596364021301269531e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
1.602386951446533203e+00,-1.389967203140258789e+00,-1.421488642692565918e+00,-1.509749531745910645e+00,3.168565630912780762e-01,-4.393339753150939941e-01,-2.341627120971679688e+00,6.339952945709228516e-01,3.983184695243835449e-01,-3.566992044448852539e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
1.435719370841979980e+00,-1.625655293464660645e+00,-1.590784788131713867e+00,-1.763791799545288086e+00,5.376156568527221680e-01,-3.609884977340698242e-01,-2.474606990814208984e+00,3.749741315841674805e-01,8.621118068695068359e-01,-3.686146974563598633e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
1.589139819145202637e+00,-1.508436441421508789e+00,-1.607005834579467773e+00,-1.872332215309143066e+00,5.110192894935607910e-01,-3.228618502616882324e-01,-2.383997440338134766e+00,4.550197720527648926e-01,7.900539636611938477e-01,-3.939074516296386719e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
1.639336824417114258e+00,-1.713493347167968750e+00,-1.732089757919311523e+00,-2.009471893310546875e+00,5.450033545494079590e-01,-3.399562239646911621e-01,-2.377316713333129883e+00,4.686261415481567383e-01,8.963490724563598633e-01,-4.186863899230957031e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
1.541943907737731934e+00,-1.767718553543090820e+00,-1.806505084037780762e+00,-2.006165027618408203e+00,4.956153333187103271e-01,-3.875127434730529785e-01,-2.481902599334716797e+00,4.539232254028320312e-01,9.637719988822937012e-01,-4.026298522949218750e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
1.576822042465209961e+00,-1.667100667953491211e+00,-1.838406682014465332e+00,-2.088750362396240234e+00,4.983100891113281250e-01,-3.317597508430480957e-01,-2.406534671783447266e+00,4.366027712821960449e-01,9.830138683319091797e-01,-4.131870746612548828e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
1.491629838943481445e+00,-1.731925010681152344e+00,-1.903342962265014648e+00,-2.110224723815917969e+00,5.345646739006042480e-01,-3.558765053749084473e-01,-2.422520160675048828e+00,3.687558770179748535e-01,1.103518605232238770e+00,-4.063916206359863281e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
1.497346520423889160e+00,-1.663862109184265137e+00,-1.932890653610229492e+00,-2.159711360931396484e+00,5.131510496139526367e-01,-3.404721021652221680e-01,-2.419209003448486328e+00,3.649257719516754150e-01,1.110901951789855957e+00,-4.091496944427490234e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
1.438935875892639160e+00,-1.689383625984191895e+00,-2.000183105468750000e+00,-2.193737268447875977e+00,5.534211397171020508e-01,-3.536563515663146973e-01,-2.404572963714599609e+00,3.009652495384216309e-01,1.217617988586425781e+00,-4.071269035339355469e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
1.423832654953002930e+00,-1.657879352569580078e+00,-2.035204172134399414e+00,-2.231740236282348633e+00,5.482586026191711426e-01,-3.548707365989685059e-01,-2.414342880249023438e+00,2.827188670635223389e-01,1.248988151550292969e+00,-4.074208259582519531e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
1.383625984191894531e+00,-1.661638021469116211e+00,-2.094418287277221680e+00,-2.268980503082275391e+00,5.781711935997009277e-01,-3.624974489212036133e-01,-2.403612136840820312e+00,2.321094572544097900e-01,1.331195950508117676e+00,-4.070250511169433594e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
1.358592391014099121e+00,-1.650213003158569336e+00,-2.134305715560913086e+00,-2.303967237472534180e+00,5.871214866638183594e-01,-3.667491674423217773e-01,-2.412004709243774414e+00,2.015646100044250488e-01,1.379475593566894531e+00,-4.065468311309814453e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
1.327701926231384277e+00,-1.645803093910217285e+00,-2.183737993240356445e+00,-2.341824293136596680e+00,6.111873388290405273e-01,-3.684046864509582520e-01,-2.403639078140258789e+00,1.585477888584136963e-01,1.445696353912353516e+00,-4.066891670227050781e+00,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
1.296248912811279297e+00,-1.636519312858581543e+00,-2.189943790435791016e+00,-2.380220174789428711e+00,6.428876519203186035e-01,-3.692399859428405762e-01,-2.370082616806030273e+00,1.100842952728271484e-01,1.495531916618347168e+00,-4.048904418945312500e+00,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
1.262851953506469727e+00,-1.629264950752258301e+00,-2.267441272735595703e+00,-2.407062292098999023e+00,6.516771316528320312e-01,-3.721995353698730469e-01,-2.390092849731445312e+00,7.369226217269897461e-02,1.563043117523193359e+00,-4.039310455322265625e+00,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
1.243589639663696289e+00,-1.622361063957214355e+00,-2.301094293594360352e+00,-2.445048332214355469e+00,6.724242568016052246e-01,-3.643810153007507324e-01,-2.375415325164794922e+00,4.073566198348999023e-02,1.609708070755004883e+00,-4.053968906402587891e+00,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
1.211882948875427246e+00,-1.621404290199279785e+00,-2.344752073287963867e+00,-2.479892015457153320e+00,6.933014988899230957e-01,-3.580695986747741699e-01,-2.371574640274047852e+00,-1.673996448516845703e-03,1.666893482208251953e+00,-4.045471191406250000e+00,-2.404325024893274598e+00,8.014560581305479880e-03,1.655426785565002890e+00,-4.026433662541998082e+00
1.184272766113281250e+00,-1.613981962203979492e+00,-2.382282495498657227e+00,-2.514430522918701172e+00,7.113389372825622559e-01,-3.538106679916381836e-01,-2.365118741989135742e+00,-3.973147273063659668e-02,1.716246128082275391e+00,-4.038558006286621094e+00,-2.404361241348101252e+00,-2.950602645335092394e-02,1.706636253620638977e+00,-4.017817287427491557e+00
1.154407143592834473e+00,-1.607354164123535156e+00,-2.422060251235961914e+00,-2.549612760543823242e+00,7.291454672813415527e-01,-3.512057065963745117e-01,-2.360899448394775391e+00,-7.959672808647155762e-02,1.766980051994323730e+00,-4.027216434478759766e+00,-2.404388347789881308e+00,-6.701603584078834330e-02,1.756828755870746717e+00,-4.008996490083630349e+00
1.125032663345336914e+00,-1.600663065910339355e+00,-2.460746765136718750e+00,-2.585374116897583008e+00,7.439243793487548828e-01,-3.509306907653808594e-01,-2.361943244934082031e+00,-1.180135905742645264e-01,1.814852237701416016e+00,-4.012710571289062500e+00,-2.404406975637244592e+00,-1.044923928395354029e-01,1.806017403281527045e+00,-3.999975387383797099e+00
1.095830202102661133e+00,-1.594154357910156250e+00,-2.500603914260864258e+00,-2.623224973678588867e+00,7.569010257720947266e-01,-3.526492118835449219e-01,-2.366875648498535156e+00,-1.561079025268554688e-01,1.862153649330139160e+00,-3.997287511825561523e+00,-2.404417691314005179e+00,-1.419142948193536924e-01,1.854214493083699455e+00,-3.990757994201697301e+00
1.067226886749267578e+00,-1.588759660720825195e+00,-2.540180921554565430e+00,-2.662848234176635742e+00,7.686214447021484375e-01,-3.559061884880065918e-01,-2.374475002288818359e+00,-1.936328113079071045e-01,1.908280611038208008e+00,-3.981630325317382812e+00,-2.404421047601809747e+00,-1.792613676278000112e-01,1.901432432071156198e+00,-3.981348293915777603e+00
1.039467811584472656e+00,-1.584323167800903320e+00,-2.579583406448364258e+00,-2.703721046447753906e+00,7.796722650527954102e-01,-3.603214621543884277e-01,-2.383152961730957031e+00,-2.304908931255340576e-01,1.953364491462707520e+00,-3.966775894165039062e+00,-2.404417571804511766e+00,-2.165140920877411113e-01,1.947683521425267905e+00,-3.971750221978101347e+00
1.012792706489562988e+00,-1.595615386962890625e+00,-2.593980312347412109e+00,-2.753030776977539062e+00,8.013061285018920898e-01,-3.695887923240661621e-01,-2.372650861740112305e+00,-2.677650451660156250e-01,1.991130352020263672e+00,-3.958707094192504883e+00,-2.404407765918663564e+00,-2.536538019320620507e-01,1.992979956714901579e+00,-3.961967665914346792e+00
9.858926534652709961e-01,-1.576102256774902344e+00,-2.662173748016357422e+00,-2.789748668670654297e+00,7.960281968116760254e-01,-3.757394552230834961e-01,-2.410657405853271484e+00,-3.025031089782714844e-01,2.042017698287963867e+00,-3.934503555297851562e+00,-2.404392096833004366e+00,-2.906635952421278701e-01,2.037333771748515154e+00,-3.952004402001466854e+00
9.625158905982971191e-01,-1.576294898986816406e+00,-2.694175243377685547e+00,-2.831839084625244141e+00,8.141993880271911621e-01,-3.769901990890502930e-01,-2.402948856353759766e+00,-3.365302085876464844e-01,2.082510948181152344e+00,-3.935997724533081055e+00,-2.404371012090142923e+00,-3.275269649373411252e-01,2.080756922795028885e+00,-3.941864190250089717e+00
9.369219541549682617e-01,-1.575660109519958496e+00,-2.732354879379272461e+00,-2.869619131088256836e+00,8.208107948303222656e-01,-3.824170827865600586e-01,-2.419026374816894531e+00,-3.706691265106201172e-01,2.122300624847412109e+00,-3.915716648101806641e+00,-2.404344939119005264e+00,-3.642278662110683962e-01,2.123261284307457863e+00,-3.931550769581764193e+00
