X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
1.753411769866943359e+00,-1.792819499969482422e+00,-1.508072137832641602e+00,-1.806979298591613770e+00,5.859145522117614746e-01,-3.452786505222320557e-01,-2.382097244262695312e+00,5.470473766326904297e-01,6.441042423248291016e-01,-4.270366668701171875e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
1.736740112304687500e+00,-1.779925107955932617e+00,-1.566489100456237793e+00,-1.836437106132507324e+00,5.877469778060913086e-01,-3.530399501323699951e-01,-2.359363079071044922e+00,5.338027477264404297e-01,7.077624797821044922e-01,-4.264666080474853516e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
1.716699361801147461e+00,-1.762386918067932129e+00,-1.615864396095275879e+00,-1.873269081115722656e+00,5.821895599365234375e-01,-3.548640906810760498e-01,-2.346995592117309570e+00,5.194722414016723633e-01,7.625744342803955078e-01,-4.249378204345703125e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
1.693693637847900391e+00,-1.744339466094970703e+00,-1.657371878623962402e+00,-1.916025757789611816e+00,5.724083781242370605e-01,-3.520215153694152832e-01,-2.347850799560546875e+00,5.036268830299377441e-01,8.102940917015075684e-01,-4.230108261108398438e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
1.667635202407836914e+00,-1.728047370910644531e+00,-1.694961071014404297e+00,-1.962181329727172852e+00,5.592957735061645508e-01,-3.465883433818817139e-01,-2.360212564468383789e+00,4.868730008602142334e-01,8.537864089012145996e-01,-4.208534240722656250e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
1.639336824417114258e+00,-1.713493347167968750e+00,-1.732089757919311523e+00,-2.009471893310546875e+00,5.450033545494079590e-01,-3.399562239646911621e-01,-2.377316713333129883e+00,4.686261415481567383e-01,8.963490724563598633e-01,-4.186863899230957031e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
1.609076499938964844e+00,-1.700236439704895020e+00,-1.771165013313293457e+00,-2.055943012237548828e+00,5.323697924613952637e-01,-3.340911865234375000e-01,-2.392825126647949219e+00,4.476137757301330566e-01,9.412062168121337891e-01,-4.166195392608642578e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
1.576461076736450195e+00,-1.687748908996582031e+00,-1.813404679298400879e+00,-2.099979877471923828e+00,5.252069234848022461e-01,-3.312905430793762207e-01,-2.401739120483398438e+00,4.217893183231353760e-01,9.916752576828002930e-01,-4.146991729736328125e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
1.541463971138000488e+00,-1.676057100296020508e+00,-1.858697056770324707e+00,-2.140962123870849609e+00,5.260758996009826660e-01,-3.328154087066650391e-01,-2.402724266052246094e+00,3.901389241218566895e-01,1.049145817756652832e+00,-4.129841804504394531e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
1.504482626914978027e+00,-1.665789484977722168e+00,-1.905793547630310059e+00,-2.179069995880126953e+00,5.340360403060913086e-01,-3.381944298744201660e-01,-2.398919105529785156e+00,3.537260890007019043e-01,1.111933469772338867e+00,-4.113720893859863281e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
1.466554641723632812e+00,-1.657449245452880859e+00,-1.954045295715332031e+00,-2.214817762374877930e+00,5.472574830055236816e-01,-3.459866046905517578e-01,-2.393139600753784180e+00,3.141538798809051514e-01,1.177896857261657715e+00,-4.098371982574462891e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
1.428915143013000488e+00,-1.651408433914184570e+00,-2.002843856811523438e+00,-2.248929023742675781e+00,5.639267563819885254e-01,-3.545771241188049316e-01,-2.387577056884765625e+00,2.729957103729248047e-01,1.244898557662963867e+00,-4.084167480468750000e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
1.392627000808715820e+00,-1.647442817687988281e+00,-2.051573038101196289e+00,-2.282083034515380859e+00,5.823212862014770508e-01,-3.623445630073547363e-01,-2.383740425109863281e+00,2.316170930862426758e-01,1.310994744300842285e+00,-4.071533679962158203e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
