X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-1.261029765009880066e-02,1.139129325747489929e-02,-4.338674992322921753e-02,-2.222612127661705017e-02,2.534893527626991272e-02,2.946135029196739197e-02,-2.208233624696731567e-02,6.306877359747886658e-03,1.371710449457168579e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.354533620178699493e-02,1.555214636027812958e-02,-4.655339568853378296e-02,-2.369412034749984741e-02,8.176918141543865204e-03,2.747226692736148834e-02,-4.232280328869819641e-02,2.945678681135177612e-02,1.230866909027099609e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.598857156932353973e-02,2.347662486135959625e-02,-5.148401111364364624e-02,-1.910617202520370483e-02,3.372821956872940063e-03,2.218712121248245239e-02,-6.681586056947708130e-02,4.165301471948623657e-02,1.178266331553459167e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.823103800415992737e-02,3.270388022065162659e-02,-5.432233959436416626e-02,-1.715362444519996643e-02,-3.985494375228881836e-03,2.057853899896144867e-02,-8.628150075674057007e-02,5.642322078347206116e-02,1.099852919578552246e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-2.055953070521354675e-02,4.061025008559226990e-02,-5.833351612091064453e-02,-1.455606520175933838e-02,-1.103761792182922363e-02,1.743104681372642517e-02,-1.079892739653587341e-01,7.064713537693023682e-02,1.035795956850051880e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.332240551710128784e-02,1.519797928631305695e-02,-7.371155172586441040e-02,-3.139068931341171265e-02,-3.275400027632713318e-02,4.308700561523437500e-03,-1.286269873380661011e-01,7.564345002174377441e-02,1.084835827350616455e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.801797747611999512e-02,1.493075117468833923e-02,-8.250458538532257080e-02,-3.603900223970413208e-02,-2.320810779929161072e-02,5.523223429918289185e-03,-1.359650492668151855e-01,6.432496011257171631e-02,1.378119438886642456e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-2.122806012630462646e-02,1.323308981955051422e-02,-8.945867419242858887e-02,-4.412584006786346436e-02,-1.972093619406223297e-02,8.319307118654251099e-03,-1.399845182895660400e-01,5.715760961174964905e-02,1.603590846061706543e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-2.470296621322631836e-02,1.085872761905193329e-02,-9.701353311538696289e-02,-5.031516402959823608e-02,-1.544612832367420197e-02,9.179409593343734741e-03,-1.465124338865280151e-01,4.952157288789749146e-02,1.829283833503723145e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-2.793695777654647827e-02,9.321479126811027527e-03,-1.037177518010139465e-01,-5.680424720048904419e-02,-1.171104237437248230e-02,1.050749048590660095e-02,-1.522563844919204712e-01,4.226420074701309204e-02,2.034078836441040039e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-3.121764957904815674e-02,7.765665650367736816e-03,-1.101940870285034180e-01,-6.274656951427459717e-02,-8.173969574272632599e-03,1.142241433262825012e-02,-1.584164798259735107e-01,3.529583662748336792e-02,2.228321433067321777e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-3.440638631582260132e-02,6.510064005851745605e-03,-1.162851229310035706e-01,-6.848939508199691772e-02,-4.926979541778564453e-03,1.221131160855293274e-02,-1.646395474672317505e-01,2.859812974929809570e-02,2.409130632877349854e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-3.757078945636749268e-02,5.435563623905181885e-03,-1.220793873071670532e-01,-7.393488287925720215e-02,-1.916801556944847107e-03,1.281318813562393188e-02,-1.710268706083297729e-01,2.218261361122131348e-02,2.578885257244110107e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-4.069041460752487183e-02,4.567068070173263550e-03,-1.275883018970489502e-01,-7.913942635059356689e-02,8.536539971828460693e-04,1.325806044042110443e-02,-1.775563657283782959e-01,1.603887230157852173e-02,2.737856805324554443e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-4.377755522727966309e-02,3.885932266712188721e-03,-1.328413933515548706e-01,-8.410579711198806763e-02,3.401875495910644531e-03,1.355271786451339722e-02,-1.842350214719772339e-01,1.016464084386825562e-02,2.886974811553955078e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-6.686632335186004639e-02,-1.913794130086898804e-02,-1.235792040824890137e-01,-8.386445045471191406e-02,7.048001512885093689e-03,1.430639624595642090e-02,-1.660832315683364868e-01,-1.741870492696762085e-02,3.033295571804046631e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-6.612310558557510376e-02,-2.341236174106597900e-02,-1.198768243193626404e-01,-9.528000652790069580e-02,1.452320255339145660e-02,-2.248393371701240540e-03,-1.740582436323165894e-01,-6.418448686599731445e-02,2.870564460754394531e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-7.627950608730316162e-02,-2.746770530939102173e-02,-1.102830693125724792e-01,-1.037836968898773193e-01,2.598538994789123535e-02,-4.513815045356750488e-03,-1.624324619770050049e-01,-1.071876436471939087e-01,2.864197492599487305e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-8.244711160659790039e-02,-3.425744175910949707e-02,-1.035456359386444092e-01,-1.135977655649185181e-01,3.357223048806190491e-02,-1.284894347190856934e-02,-1.588231772184371948e-01,-1.494813561439514160e-01,2.797850370407104492e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-9.002451598644256592e-02,-3.997170925140380859e-02,-9.606175869703292847e-02,-1.226127296686172485e-01,4.326930269598960876e-02,-1.933298073709011078e-02,-1.527803242206573486e-01,-1.926526725292205811e-01,2.759862244129180908e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-9.699060022830963135e-02,-4.589756578207015991e-02,-8.882661163806915283e-02,-1.322271674871444702e-01,5.228138342499732971e-02,-2.619788050651550293e-02,-1.472417861223220825e-01,-2.356400191783905029e-01,2.714003622531890869e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.042768508195877075e-01,-5.198409408330917358e-02,-8.160416781902313232e-02,-1.416026949882507324e-01,6.159802526235580444e-02,-3.284195065498352051e-02,-1.413602828979492188e-01,-2.786555588245391846e-01,2.676405012607574463e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.113759875297546387e-01,-5.807100981473922729e-02,-7.448513805866241455e-02,-1.511507928371429443e-01,7.088886201381683350e-02,-3.955359011888504028e-02,-1.355586796998977661e-01,-3.217610120773315430e-01,2.638766169548034668e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.185546964406967163e-01,-6.423650681972503662e-02,-6.739280372858047485e-02,-1.606852412223815918e-01,8.028624951839447021e-02,-4.613553360104560852e-02,-1.295494884252548218e-01,-3.648819029331207275e-01,2.605071067810058594e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.256799250841140747e-01,-7.046470046043395996e-02,-6.037121638655662537e-02,-1.702786833047866821e-01,8.971306681632995605e-02,-5.271001532673835754e-02,-1.235008016228675842e-01,-4.080407321453094482e-01,2.573176324367523193e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
