X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
6.592306494712829590e-02,-1.598870940506458282e-02,-2.829790487885475159e-02,3.985632956027984619e-02,3.524878993630409241e-04,8.731007575988769531e-02,1.367712765932083130e-01,1.930280476808547974e-01,1.209585070610046387e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
6.367191672325134277e-02,-6.875442340970039368e-03,-3.234499692916870117e-02,4.276244342327117920e-02,-7.454259321093559265e-03,8.444300293922424316e-02,1.139229312539100647e-01,2.094335854053497314e-01,1.134392470121383667e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
6.141033768653869629e-02,2.182982861995697021e-03,-3.651126101613044739e-02,4.556525498628616333e-02,-1.518014632165431976e-02,8.172808587551116943e-02,9.118901193141937256e-02,2.258322834968566895e-01,1.064384430646896362e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.899133160710334778e-02,1.100613828748464584e-02,-4.079746827483177185e-02,4.818937927484512329e-02,-2.265480533242225647e-02,7.899559289216995239e-02,6.849939376115798950e-02,2.416111379861831665e-01,1.001163125038146973e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
5.661648511886596680e-02,1.985053718090057373e-02,-4.506188631057739258e-02,5.066338926553726196e-02,-3.006243705749511719e-02,7.631205022335052490e-02,4.594320803880691528e-02,2.571466863155364990e-01,9.384649991989135742e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
6.293271481990814209e-02,-1.164859160780906677e-02,-6.459794938564300537e-02,3.035181015729904175e-02,-3.925185650587081909e-02,6.433926522731781006e-02,3.342895209789276123e-02,2.437812983989715576e-01,1.234933063387870789e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
5.970032885670661926e-02,-1.346778869628906250e-02,-7.175134867429733276e-02,2.281081676483154297e-02,-3.514612093567848206e-02,6.855034828186035156e-02,3.169960901141166687e-02,2.379383295774459839e-01,1.486761420965194702e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
5.585670471191406250e-02,-1.515934988856315613e-02,-8.057731389999389648e-02,1.602146029472351074e-02,-3.096744045615196228e-02,6.950144469738006592e-02,2.303319796919822693e-02,2.307680100202560425e-01,1.734277307987213135e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
5.243588238954544067e-02,-1.642192155122756958e-02,-8.810853213071823120e-02,9.313773363828659058e-03,-2.728894911706447601e-02,7.135588675737380981e-02,1.676237396895885468e-02,2.244595140218734741e-01,1.959459930658340454e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
4.889152944087982178e-02,-1.748126000165939331e-02,-9.570094197988510132e-02,3.093298524618148804e-03,-2.397813647985458374e-02,7.278318703174591064e-02,9.324060752987861633e-03,2.188865989446640015e-01,2.176853120326995850e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
