X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
1.038656756281852722e-02,-2.514921128749847412e-03,-6.135861948132514954e-02,-2.293698489665985107e-02,2.328221499919891357e-02,1.200211979448795319e-02,-3.948332741856575012e-02,1.177383959293365479e-02,1.423840224742889404e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
1.364320889115333557e-02,-3.948844969272613525e-04,-6.210925802588462830e-02,-1.980248838663101196e-02,1.194182410836219788e-02,3.094504028558731079e-02,-2.203697897493839264e-02,5.433330684900283813e-02,1.521563977003097534e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
2.187215164303779602e-02,-1.546442508697509766e-04,-7.108274847269058228e-02,-1.101308688521385193e-02,9.565975517034530640e-03,3.178717195987701416e-02,-2.812486328184604645e-02,8.134323358535766602e-02,1.616682261228561401e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
2.900378033518791199e-02,3.699094057083129883e-03,-7.548375427722930908e-02,-5.718700587749481201e-03,3.390904515981674194e-03,4.169257730245590210e-02,-2.270193584263324738e-02,1.151137351989746094e-01,1.687128394842147827e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
3.621767088770866394e-02,5.670182406902313232e-03,-8.197151124477386475e-02,1.978173851966857910e-03,-1.393526792526245117e-03,4.753488674759864807e-02,-2.271947450935840607e-02,1.471487432718276978e-01,1.770013123750686646e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
4.364787414669990540e-02,8.805915713310241699e-03,-8.742374181747436523e-02,8.760504424571990967e-03,-7.210027426481246948e-03,5.513115972280502319e-02,-2.053902670741081238e-02,1.807398498058319092e-01,1.837529838085174561e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
5.102590098977088928e-02,1.162237673997879028e-02,-9.327393770217895508e-02,1.629342883825302124e-02,-1.283605769276618958e-02,6.191361695528030396e-02,-1.956263929605484009e-02,2.144114673137664795e-01,1.906273663043975830e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
5.850740149617195129e-02,1.477971673011779785e-02,-9.886346012353897095e-02,2.374631166458129883e-02,-1.885459013283252716e-02,6.904600560665130615e-02,-1.821572333574295044e-02,2.487788647413253784e-01,1.968221068382263184e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
6.600631773471832275e-02,1.795825362205505371e-02,-1.045024394989013672e-01,3.149100393056869507e-02,-2.495697140693664551e-02,7.598315179347991943e-02,-1.722109317779541016e-02,2.834762930870056152e-01,2.027624547481536865e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
7.355061173439025879e-02,2.128706127405166626e-02,-1.100440323352813721e-01,3.932933509349822998e-02,-3.127147629857063293e-02,8.298344910144805908e-02,-1.621763221919536591e-02,3.186142146587371826e-01,2.082856893539428711e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
8.111803233623504639e-02,2.468820661306381226e-02,-1.155587062239646912e-01,4.733303934335708618e-02,-3.771406784653663635e-02,8.991871774196624756e-02,-1.536590419709682465e-02,3.540669977664947510e-01,2.135013490915298462e-01,9.720028643555724823e-01,9.720028643555724823e-01,9.720028643555724823e-01,9.720028643555724823e-01
8.870737254619598389e-02,2.818147093057632446e-02,-1.210115328431129456e-01,5.544579029083251953e-02,-4.430423676967620850e-02,9.684782475233078003e-02,-1.457420364022254944e-02,3.898255527019500732e-01,2.183895111083984375e-01,9.794807943766976610e-01,9.794807943766976610e-01,9.794807943766976610e-01,9.794807943766976610e-01
9.630826115608215332e-02,3.174090385437011719e-02,-1.264180541038513184e-01,6.367269158363342285e-02,-5.101142078638076782e-02,1.037375777959823608e-01,-1.387500297278165817e-02,4.258223474025726318e-01,2.229885607957839966e-01,9.858137940738402882e-01,9.858137940738402882e-01,9.858137940738402882e-01,9.858137940738402882e-01
1.039139479398727417e-01,3.536301851272583008e-02,-1.317687332630157471e-01,7.198950648307800293e-02,-5.782974883913993835e-02,1.105992645025253296e-01,-1.324106194078922272e-02,4.620182514190673828e-01,2.273073345422744751e-01,9.909902424471630500e-01,9.909902424471630500e-01,9.909902424471630500e-01,9.909902424471630500e-01
1.115160286426544189e-01,3.903411328792572021e-02,-1.370658129453659058e-01,8.038638532161712646e-02,-6.474169343709945679e-02,1.174218505620956421e-01,-1.267524063587188721e-02,4.983601868152618408e-01,2.313666343688964844e-01,9.950013154872523469e-01,9.950013154872523469e-01,9.950013154872523469e-01,9.950013154872523469e-01
1.191066205501556396e-01,4.274599254131317139e-02,-1.423052549362182617e-01,8.884665369987487793e-02,-7.173568010330200195e-02,1.242048293352127075e-01,-1.216634456068277359e-02,5.348014831542968750e-01,2.351797074079513550e-01,9.978409878687641843e-01,9.978409878687641843e-01,9.978409878687641843e-01,9.978409878687641843e-01
1.266774535179138184e-01,4.648828506469726562e-02,-1.474858522415161133e-01,9.735728800296783447e-02,-7.879753410816192627e-02,1.309419721364974976e-01,-1.171101722866296768e-02,5.712925195693969727e-01,2.387618720531463623e-01,9.995060279765779487e-01,9.995060279765779487e-01,9.995060279765779487e-01,9.995060279765779487e-01
1.342203170061111450e-01,5.025231093168258667e-02,-1.526047289371490479e-01,1.059036850929260254e-01,-8.591471612453460693e-02,1.376296132802963257e-01,-1.130297593772411346e-02,6.077854633331298828e-01,2.421260774135589600e-01,9.999959863481092670e-01,9.999959863481092670e-01,9.999959863481092670e-01,9.999959863481092670e-01
1.417269557714462280e-01,5.402901768684387207e-02,-1.576594710350036621e-01,1.144722700119018555e-01,-9.307423979043960571e-02,1.442625969648361206e-01,-1.093776430934667587e-02,6.442317962646484375e-01,2.452848702669143677e-01,9.993131776301424907e-01,9.993131776301424907e-01,9.993131776301424907e-01,9.993131776301424907e-01
1.491892188787460327e-01,5.781010538339614868e-02,-1.626473367214202881e-01,1.230492144823074341e-01,-1.002635657787322998e-01,1.508360356092453003e-01,-1.061084493994712830e-02,6.805837750434875488e-01,2.482496052980422974e-01,9.974626561628112675e-01,9.974626561628112675e-01,9.974626561628112675e-01,9.974626561628112675e-01
1.565987318754196167e-01,6.158734858036041260e-02,-1.675654649734497070e-01,1.316211074590682983e-01,-1.074704229831695557e-01,1.573448628187179565e-01,-1.031838171184062958e-02,7.167940139770507812e-01,2.510311305522918701e-01,9.944521853171389703e-01,9.944521853171389703e-01,9.944521853171389703e-01,9.944521853171389703e-01
1.639474034309387207e-01,6.535301357507705688e-02,-1.724110543727874756e-01,1.401747465133666992e-01,-1.146826595067977905e-01,1.637838184833526611e-01,-1.005679648369550705e-02,7.528156638145446777e-01,2.536395788192749023e-01,9.902922007258274650e-01,9.902922007258274650e-01,9.902922007258274650e-01,9.902922007258274650e-01
1.712270826101303101e-01,6.909967958927154541e-02,-1.771811842918395996e-01,1.486970633268356323e-01,-1.218885183334350586e-01,1.701478213071823120e-01,-9.822862222790718079e-03,7.886027097702026367e-01,2.560844719409942627e-01,9.849957675597353912e-01,9.849957675597353912e-01,9.849957675597353912e-01,9.849957675597353912e-01
1.784296482801437378e-01,7.282020151615142822e-02,-1.818728446960449219e-01,1.571753919124603271e-01,-1.290763318538665771e-01,1.764314919710159302e-01,-9.613720700144767761e-03,8.241096735000610352e-01,2.583745121955871582e-01,9.785785320146864752e-01,9.785785320146864752e-01,9.785785320146864752e-01,9.785785320146864752e-01
1.855472028255462646e-01,7.650773972272872925e-02,-1.864831745624542236e-01,1.655972301959991455e-01,-1.362348943948745728e-01,1.826295107603073120e-01,-9.427016600966453552e-03,8.592919111251831055e-01,2.605181634426116943e-01,9.710586671848775442e-01,9.710586671848775442e-01,9.710586671848775442e-01,9.710586671848775442e-01
1.925720125436782837e-01,8.015592396259307861e-02,-1.910092234611511230e-01,1.739503294229507446e-01,-1.433531343936920166e-01,1.887366324663162231e-01,-9.260411374270915985e-03,8.941058516502380371e-01,2.625231146812438965e-01,9.624568135101962962e-01,9.624568135101962962e-01,9.624568135101962962e-01,9.624568135101962962e-01
1.994963437318801880e-01,8.375851809978485107e-02,-1.954481005668640137e-01,1.822228431701660156e-01,-1.504203528165817261e-01,1.947477012872695923e-01,-9.111827239394187927e-03,9.285090565681457520e-01,2.643969058990478516e-01,9.527960139951898721e-01,9.527960139951898721e-01,9.527960139951898721e-01,9.527960139951898721e-01
2.063127756118774414e-01,8.730961382389068604e-02,-1.997970640659332275e-01,1.904032379388809204e-01,-1.574260741472244263e-01,2.006575316190719604e-01,-8.979519829154014587e-03,9.624600410461425781e-01,2.661466300487518311e-01,9.421016444072416451e-01,9.421016444072416451e-01,9.421016444072416451e-01,9.421016444072416451e-01
2.130140960216522217e-01,9.080375730991363525e-02,-2.040532678365707397e-01,1.984802484512329102e-01,-1.643602401018142700e-01,2.064611166715621948e-01,-8.861994370818138123e-03,9.959185123443603516e-01,2.677787840366363525e-01,9.304013386706881938e-01,9.304013386706881938e-01,9.304013386706881938e-01,9.304013386706881938e-01
2.195931524038314819e-01,9.423566609621047974e-02,-2.082141041755676270e-01,2.064431011676788330e-01,-1.712130159139633179e-01,2.121534347534179688e-01,-8.757992647588253021e-03,1.028845429420471191e+00,2.692995667457580566e-01,9.177249096821431529e-01,9.177249096821431529e-01,9.177249096821431529e-01,9.177249096821431529e-01
2.260432392358779907e-01,9.760041534900665283e-02,-2.122769653797149658e-01,2.142811864614486694e-01,-1.779749840497970581e-01,2.177297621965408325e-01,-8.666105568408966064e-03,1.061203241348266602e+00,2.707150876522064209e-01,9.041042657801666715e-01,9.041042657801666715e-01,9.041042657801666715e-01,9.041042657801666715e-01
2.323577702045440674e-01,1.008933186531066895e-01,-2.162394821643829346e-01,2.219845503568649292e-01,-1.846369653940200806e-01,2.231854498386383057e-01,-8.585388772189617157e-03,1.092955827713012695e+00,2.720311582088470459e-01,8.895733231096409899e-01,8.895733231096409899e-01,8.895733231096409899e-01,8.895733231096409899e-01
