X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
2.298903912305831909e-01,-3.036274015903472900e-02,-1.199748739600181580e-01,1.538637578487396240e-01,-5.891014635562896729e-02,2.209052145481109619e-01,2.920680642127990723e-01,7.074350118637084961e-01,2.953933179378509521e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
2.366220653057098389e-01,-2.635437622666358948e-02,-1.236761510372161865e-01,1.619772613048553467e-01,-6.544025242328643799e-02,2.262432426214218140e-01,2.920847833156585693e-01,7.395248413085937500e-01,2.954803705215454102e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
2.434557527303695679e-01,-2.229767106473445892e-02,-1.274362504482269287e-01,1.702272742986679077e-01,-7.209806144237518311e-02,2.316721975803375244e-01,2.921058833599090576e-01,7.721658349037170410e-01,2.955674529075622559e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
2.503821253776550293e-01,-1.819807291030883789e-02,-1.312506794929504395e-01,1.786033809185028076e-01,-7.887527346611022949e-02,2.371839731931686401e-01,2.921287715435028076e-01,8.053153157234191895e-01,2.956539988517761230e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
2.573913335800170898e-01,-1.406114362180233002e-02,-1.351148784160614014e-01,1.870947629213333130e-01,-8.576303720474243164e-02,2.427696734666824341e-01,2.921501994132995605e-01,8.389282226562500000e-01,2.957394421100616455e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
2.644736766815185547e-01,-9.892143309116363525e-03,-1.390241384506225586e-01,1.956906169652938843e-01,-9.275278449058532715e-02,2.484208792448043823e-01,2.921673953533172607e-01,8.729605078697204590e-01,2.958227396011352539e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
2.716196179389953613e-01,-5.696609616279602051e-03,-1.429737210273742676e-01,2.043799608945846558e-01,-9.983575344085693359e-02,2.541293203830718994e-01,2.921780347824096680e-01,9.073674678802490234e-01,2.959033250808715820e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
2.788200676441192627e-01,-1.480430364608764648e-03,-1.469585895538330078e-01,2.131520807743072510e-01,-1.070029288530349731e-01,2.598873674869537354e-01,2.921818792819976807e-01,9.421052336692810059e-01,2.959811687469482422e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
2.860658168792724609e-01,2.750396728515625000e-03,-1.509738266468048096e-01,2.219958454370498657e-01,-1.142450571060180664e-01,2.656874656677246094e-01,2.921788096427917480e-01,9.771291017532348633e-01,2.960565984249114990e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
2.933479845523834229e-01,6.989661604166030884e-03,-1.550142765045166016e-01,2.309001088142395020e-01,-1.215527057647705078e-01,2.715224921703338623e-01,2.921702563762664795e-01,1.012394189834594727e+00,2.961304187774658203e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
