X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-1.273731470108032227e+00,2.649238586425781250e+00,1.816809922456741333e-01,-3.034471869468688965e-01,-1.777176380157470703e+00,7.712313532829284668e-01,-1.076343441009521484e+01,-4.504945278167724609e-01,-8.485248684883117676e-01,-1.083083248138427734e+01,-1.990270018577575684e+00,-4.337364196777343750e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-1.532184958457946777e+00,2.392350673675537109e+00,6.356933712959289551e-02,-5.969177484512329102e-01,-1.802476048469543457e+00,8.051773309707641602e-01,-1.127451610565185547e+01,-1.260684490203857422e+00,-1.861021518707275391e-01,-9.536783218383789062e+00,-2.305751085281372070e+00,-6.416459560394287109e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-1.536477804183959961e+00,2.409098148345947266e+00,9.613096714019775391e-03,-6.047843694686889648e-01,-1.784051895141601562e+00,8.225585818290710449e-01,-1.141092300415039062e+01,-1.315971732139587402e+00,-5.694985389709472656e-02,-9.541618347167968750e+00,-2.490343093872070312e+00,-6.402899265289306641e+00,3.208841668845446304e-01,6.800159835931912644e-01,2.479280973747593819e+00
-1.639603257179260254e+00,2.061350345611572266e+00,-2.876882851123809814e-01,-8.995570540428161621e-01,-1.790779709815979004e+00,8.842841386795043945e-01,-1.108922481536865234e+01,-1.951102256774902344e+00,6.601644754409790039e-01,-8.008217811584472656e+00,-3.919024467468261719e+00,-8.330768585205078125e+00,3.542008329823561619e-01,7.254356527383687414e-01,2.598766558013919425e+00
-1.953732371330261230e+00,1.818846344947814941e+00,-2.089353352785110474e-01,-9.826854467391967773e-01,-1.721962094306945801e+00,1.138511419296264648e+00,-1.207106494903564453e+01,-2.104332208633422852e+00,1.364320516586303711e+00,-5.372391700744628906e+00,-3.715203523635864258e+00,-1.008255100250244141e+01,3.849559263389800146e-01,7.665329234102449263e-01,2.721579891448806521e+00
-2.288577795028686523e+00,1.384713053703308105e+00,-1.567512452602386475e-01,-1.155487656593322754e+00,-1.492116093635559082e+00,1.256704092025756836e+00,-1.232916736602783203e+01,-2.816308021545410156e+00,1.833661794662475586e+00,-2.028017044067382812e+00,-3.861297369003295898e+00,-1.128180408477783203e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-2.337967395782470703e+00,1.333138585090637207e+00,-1.458246558904647827e-01,-1.151173233985900879e+00,-1.453121662139892578e+00,1.286450266838073730e+00,-1.241209983825683594e+01,-2.866150379180908203e+00,1.901833057403564453e+00,-1.496117949485778809e+00,-3.840643405914306641e+00,-1.134400463104248047e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-2.241949796676635742e+00,1.329978227615356445e+00,-7.338213920593261719e-02,-1.114190101623535156e+00,-1.453861594200134277e+00,1.306667089462280273e+00,-1.196951103210449219e+01,-2.494071960449218750e+00,1.880647540092468262e+00,-1.554892301559448242e+00,-3.944613695144653320e+00,-1.116139411926269531e+01,4.133465203685712797e-01,8.037194021811097100e-01,2.839371800734650897e+00
-2.479244470596313477e+00,1.000089406967163086e+00,-3.231315314769744873e-02,-1.181369066238403320e+00,-1.307964205741882324e+00,1.477895975112915039e+00,-1.223001003265380859e+01,-2.739948749542236328e+00,2.314049005508422852e+00,1.259432673454284668e+00,-4.141331195831298828e+00,-1.217421245574951172e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-2.574255466461181641e+00,7.736449241638183594e-01,-2.442211657762527466e-02,-1.188705205917358398e+00,-1.219504237174987793e+00,1.599864840507507324e+00,-1.205107593536376953e+01,-2.711580991744995117e+00,2.512385368347167969e+00,3.118227243423461914e+00,-4.503695964813232422e+00,-1.260943603515625000e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-2.529824972152709961e+00,7.859400510787963867e-01,-3.746745735406875610e-02,-1.210077047348022461e+00,-1.230144023895263672e+00,1.574360013008117676e+00,-1.184954261779785156e+01,-2.676802635192871094e+00,2.445396661758422852e+00,2.831612110137939453e+00,-4.640060901641845703e+00,-1.254540252685546875e+01,4.637473881937204112e-01,8.678131849437419332e-01,3.037371083515849612e+00
-2.634212493896484375e+00,5.739797353744506836e-01,-1.780797243118286133e-01,-1.229879140853881836e+00,-1.098821997642517090e+00,1.652010083198547363e+00,-1.161139202117919922e+01,-2.881605863571166992e+00,2.471504449844360352e+00,4.610260009765625000e+00,-5.385208606719970703e+00,-1.248267364501953125e+01,4.860801285313018361e-01,8.953614201379610504e-01,3.106756271121852819e+00
