X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.202685742053709927e-01,1.264242405431839980e-02,3.160606013579599960e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.340870137674679885e-01,1.334259239593039992e-02,3.267109897507810246e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.468430336932619928e-01,1.397613039571569959e-02,3.387414293286720124e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.586182990371890256e-01,1.454937725435910024e-02,3.511069242653209699e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.605801250078850217e-01,1.464375440203249945e-02,3.532359969386089915e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.694882636994210268e-01,1.506807428194529945e-02,3.629668357025799708e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.795224968522089792e-01,1.553741014761179928e-02,3.736388646907899869e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.887853467979349942e-01,1.596208887285570019e-02,3.829024490453210205e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.973359286570990134e-01,1.634634648967750112e-02,3.898885161279749667e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.052291181181400193e-01,1.669403763345289962e-02,3.942871318313829931e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.125154481643510063e-01,1.700864141402870164e-02,3.959036282422049879e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.192415801318310153e-01,1.729330681919849858e-02,3.946534601966860123e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.192415801318310153e-01,1.729330681919849858e-02,3.946534601966860123e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.254505809975349884e-01,1.755088260909180159e-02,4.046785041857239662e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.311821397100679909e-01,1.778394346913739904e-02,4.128264996630549888e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.364731165234020049e-01,1.799482966858840030e-02,4.143088210340800259e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.394201250078849874e-01,1.811042205713350034e-02,4.120403473608659795e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.394201250078849874e-01,1.811042205713350034e-02,4.120403473608659795e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.413573155136450099e-01,1.818564806163560157e-02,4.092686288746769918e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.458660090666439979e-01,1.835830822754690173e-02,3.986618434896050189e+01
