X0,X1,X2,X3,Y0,Y1,Y2,Y3,U0,U1,U2,U3
2.799259424209594727e-01,2.273065596818923950e-01,-1.896997988224029541e-01,-1.838394999504089355e-01,-1.989248514175415039e+00,-1.872882246971130371e-03,1.144375562667846680e+00,-1.713596224784851074e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
2.751328945159912109e-01,2.256965041160583496e-01,-1.948346495628356934e-01,-1.871971040964126587e-01,-2.000417709350585938e+00,-3.696544468402862549e-02,1.177740693092346191e+00,-1.739211320877075195e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
2.702977955341339111e-01,2.241670787334442139e-01,-1.998468637466430664e-01,-1.905032843351364136e-01,-2.011653661727905273e+00,-7.208515703678131104e-02,1.211037516593933105e+00,-1.764524221420288086e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
2.654260694980621338e-01,2.227161377668380737e-01,-2.047357857227325439e-01,-1.937578767538070679e-01,-2.022943735122680664e+00,-1.071988791227340698e-01,1.244243025779724121e+00,-1.789519786834716797e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
2.605228126049041748e-01,2.213409245014190674e-01,-2.095010429620742798e-01,-1.969610601663589478e-01,-2.034272670745849609e+00,-1.422738134860992432e-01,1.277335405349731445e+00,-1.814183950424194336e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
2.555923163890838623e-01,2.200386375188827515e-01,-2.141432017087936401e-01,-2.001136541366577148e-01,-2.045628547668457031e+00,-1.772837191820144653e-01,1.310298919677734375e+00,-1.838507652282714844e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
2.506393194198608398e-01,2.188066542148590088e-01,-2.186626195907592773e-01,-2.032160162925720215e-01,-2.056999206542968750e+00,-2.121999561786651611e-01,1.343115210533142090e+00,-1.862480521202087402e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
2.456675618886947632e-01,2.176426202058792114e-01,-2.230598330497741699e-01,-2.062684148550033569e-01,-2.068373441696166992e+00,-2.469990849494934082e-01,1.375767707824707031e+00,-1.886093020439147949e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
2.406814992427825928e-01,2.165440022945404053e-01,-2.273354679346084595e-01,-2.092713266611099243e-01,-2.079740047454833984e+00,-2.816545665264129639e-01,1.408239364624023438e+00,-1.909336090087890625e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
2.356849908828735352e-01,2.155082970857620239e-01,-2.314902991056442261e-01,-2.122249007225036621e-01,-2.091086626052856445e+00,-3.161425590515136719e-01,1.440513253211975098e+00,-1.932201266288757324e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
