X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-5.243281275033950806e-02,6.226465106010437012e-02,-1.328347325325012207e-01,1.172377914190292358e-02,-4.226535558700561523e-02,-1.118670850992202759e-01,-2.134906053543090820e+00,7.251173853874206543e-01,6.037244945764541626e-02,-4.043002605438232422e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
-4.329442232847213745e-02,5.706351995468139648e-02,-1.019730120897293091e-01,-6.067641079425811768e-03,5.030333995819091797e-03,-8.986599743366241455e-02,-2.512300968170166016e+00,4.335637986660003662e-01,7.993558645248413086e-01,-4.154784202575683594e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
-3.619181364774703979e-02,5.762174725532531738e-02,-9.706884622573852539e-02,1.311356574296951294e-02,-3.614664077758789062e-03,-1.023665517568588257e-01,-2.281625747680664062e+00,7.368820905685424805e-01,3.364338874816894531e-01,-4.026209354400634766e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
-3.398067504167556763e-02,5.605721473693847656e-02,-9.288394451141357422e-02,5.229935050010681152e-03,1.102602481842041016e-02,-8.903436362743377686e-02,-2.363428831100463867e+00,4.798141121864318848e-01,7.704967856407165527e-01,-4.111537933349609375e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
-2.900696545839309692e-02,5.681347846984863281e-02,-8.611765503883361816e-02,9.021818637847900391e-03,1.393389701843261719e-02,-9.018872678279876709e-02,-2.388166189193725586e+00,5.646077394485473633e-01,7.405452728271484375e-01,-4.067736625671386719e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
-2.721715718507766724e-02,5.514785647392272949e-02,-8.254452049732208252e-02,8.499391376972198486e-03,2.258551120758056641e-02,-8.574040234088897705e-02,-2.373065710067749023e+00,4.732896089553833008e-01,8.771764636039733887e-01,-4.128094673156738281e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
-2.239946275949478149e-02,5.531370639801025391e-02,-7.651771605014801025e-02,9.718231856822967529e-03,2.660709619522094727e-02,-8.303345739841461182e-02,-2.395150423049926758e+00,4.733411073684692383e-01,9.468973278999328613e-01,-4.072257041931152344e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
-2.100702375173568726e-02,5.415746569633483887e-02,-7.347339391708374023e-02,9.433925151824951172e-03,3.330254554748535156e-02,-8.017788827419281006e-02,-2.392092227935791016e+00,4.167190194129943848e-01,1.039882063865661621e+00,-4.120935916900634766e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
-1.703304797410964966e-02,5.393028259277343750e-02,-6.854516267776489258e-02,1.031997054815292358e-02,3.720998764038085938e-02,-7.743553817272186279e-02,-2.400832176208496094e+00,3.986800312995910645e-01,1.108364701271057129e+00,-4.079037189483642578e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
-1.553633064031600952e-02,5.300751328468322754e-02,-6.567835807800292969e-02,9.999714791774749756e-03,4.256242513656616211e-02,-7.480634748935699463e-02,-2.400336742401123047e+00,3.516346514225006104e-01,1.187761068344116211e+00,-4.104466915130615234e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
-1.241257041692733765e-02,5.261617898941040039e-02,-6.180167198181152344e-02,1.051645725965499878e-02,4.613882303237915039e-02,-7.229228317737579346e-02,-2.404534816741943359e+00,3.249011635780334473e-01,1.251733303070068359e+00,-4.076334953308105469e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
-1.087994128465652466e-02,5.182743072509765625e-02,-5.919851362705230713e-02,1.020499318838119507e-02,5.045151710510253906e-02,-6.985203921794891357e-02,-2.403821229934692383e+00,2.827387154102325439e-01,1.320540189743041992e+00,-4.086148738861083984e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
-8.397720754146575928e-03,5.136185884475708008e-02,-5.614575743675231934e-02,1.041559129953384399e-02,5.360692739486694336e-02,-6.752027571201324463e-02,-2.405500650405883789e+00,2.509541213512420654e-01,1.380236268043518066e+00,-4.065680980682373047e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
-6.925605237483978271e-03,5.067262053489685059e-02,-5.389882624149322510e-02,1.008098572492599487e-02,5.708676576614379883e-02,-6.525780260562896729e-02,-2.404548883438110352e+00,2.110751867294311523e-01,1.441278219223022461e+00,-4.066314220428466797e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
