X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-5.243281275033950806e-02,6.226465106010437012e-02,-1.328347325325012207e-01,1.172377914190292358e-02,-4.226535558700561523e-02,-1.118670850992202759e-01,-2.134906053543090820e+00,7.251173853874206543e-01,6.037244945764541626e-02,-4.043002605438232422e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
-4.811010509729385376e-02,6.083211302757263184e-02,-1.236980855464935303e-01,1.065512746572494507e-02,-3.062278032302856445e-02,-1.069723218679428101e-01,-2.179575681686401367e+00,6.760689616203308105e-01,2.082566022872924805e-01,-4.049633026123046875e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
-4.409160465002059937e-02,5.947569012641906738e-02,-1.151979714632034302e-01,9.603649377822875977e-03,-1.974797248840332031e-02,-1.022831946611404419e-01,-2.219989776611328125e+00,6.285206675529479980e-01,3.480929434299468994e-01,-4.054898738861083984e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
-4.035975784063339233e-02,5.819272994995117188e-02,-1.073062121868133545e-01,8.570589125156402588e-03,-9.607672691345214844e-03,-9.779326617717742920e-02,-2.256432533264160156e+00,5.823414921760559082e-01,4.803133904933929443e-01,-4.058898448944091797e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
-3.689626604318618774e-02,5.698019266128540039e-02,-9.999428689479827881e-02,7.557205855846405029e-03,-1.692771911621093750e-04,-9.349597990512847900e-02,-2.289181709289550781e+00,5.373900532722473145e-01,6.053298115730285645e-01,-4.061698913574218750e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
-3.368433564901351929e-02,5.583506822586059570e-02,-9.323330223560333252e-02,6.563819944858551025e-03,8.601725101470947266e-03,-8.938361704349517822e-02,-2.318501949310302734e+00,4.935452938079833984e-01,7.235702276229858398e-01,-4.063390254974365234e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
-3.070687502622604370e-02,5.475527048110961914e-02,-8.699521422386169434e-02,5.591355264186859131e-03,1.673799753189086914e-02,-8.544971048831939697e-02,-2.344677209854125977e+00,4.507092237472534180e-01,8.354391455650329590e-01,-4.064062595367431641e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
-2.794950455427169800e-02,5.373737215995788574e-02,-8.125489950180053711e-02,4.640564322471618652e-03,2.426928281784057617e-02,-8.168740570545196533e-02,-2.367895126342773438e+00,4.087704420089721680e-01,9.412767291069030762e-01,-4.063772678375244141e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
-2.539625018835067749e-02,5.277922749519348145e-02,-7.598555088043212891e-02,3.711916506290435791e-03,3.122633695602416992e-02,-7.809020578861236572e-02,-2.388413190841674805e+00,3.676418662071228027e-01,1.041450023651123047e+00,-4.062584877014160156e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
-2.303328365087509155e-02,5.187869071960449219e-02,-7.116131484508514404e-02,2.805806696414947510e-03,3.763937950134277344e-02,-7.465089857578277588e-02,-2.406440734863281250e+00,3.272691965103149414e-01,1.136305570602416992e+00,-4.060566425323486328e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
