X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
-5.243281275033950806e-02,6.226465106010437012e-02,-1.328347325325012207e-01,1.172377914190292358e-02,-4.226535558700561523e-02,-1.118670850992202759e-01,-2.134906053543090820e+00,7.251173853874206543e-01,6.037244945764541626e-02,-4.043002605438232422e+00,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
-4.329442232847213745e-02,5.706351995468139648e-02,-1.019730120897293091e-01,-6.067641079425811768e-03,5.030333995819091797e-03,-8.986599743366241455e-02,-2.512300968170166016e+00,4.335637986660003662e-01,7.993558645248413086e-01,-4.154784202575683594e+00,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
-3.619181364774703979e-02,5.762174725532531738e-02,-9.706884622573852539e-02,1.311356574296951294e-02,-3.614664077758789062e-03,-1.023665517568588257e-01,-2.281625747680664062e+00,7.368820905685424805e-01,3.364338874816894531e-01,-4.026209354400634766e+00,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
-3.398067504167556763e-02,5.605721473693847656e-02,-9.288394451141357422e-02,5.229935050010681152e-03,1.102602481842041016e-02,-8.903436362743377686e-02,-2.363428831100463867e+00,4.798141121864318848e-01,7.704967856407165527e-01,-4.111537933349609375e+00,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
-2.900696545839309692e-02,5.681347846984863281e-02,-8.611765503883361816e-02,9.021818637847900391e-03,1.393389701843261719e-02,-9.018872678279876709e-02,-2.388166189193725586e+00,5.646077394485473633e-01,7.405452728271484375e-01,-4.067736625671386719e+00,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
-3.368433564901351929e-02,5.583506822586059570e-02,-9.323330223560333252e-02,6.563819944858551025e-03,8.601725101470947266e-03,-8.938361704349517822e-02,-2.318501949310302734e+00,4.935452938079833984e-01,7.235702276229858398e-01,-4.063390254974365234e+00,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
-2.312796562910079956e-02,5.387082695960998535e-02,-7.405313849449157715e-02,6.810888648033142090e-03,3.163397312164306641e-02,-7.957749068737030029e-02,-2.395779609680175781e+00,4.255153536796569824e-01,1.020292639732360840e+00,-4.072651863098144531e+00,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
-1.942486315965652466e-02,5.477601289749145508e-02,-7.322914898395538330e-02,1.170524209737777710e-02,3.061783313751220703e-02,-8.207176625728607178e-02,-2.385754108428955078e+00,4.542499184608459473e-01,9.834668040275573730e-01,-4.085915088653564453e+00,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
-1.845853775739669800e-02,5.341783165931701660e-02,-6.913492083549499512e-02,8.995912969112396240e-03,3.879493474960327148e-02,-7.643686234951019287e-02,-2.395717144012451172e+00,3.752333819866180420e-01,1.136138200759887695e+00,-4.108402729034423828e+00,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
-1.433587819337844849e-02,5.341720581054687500e-02,-6.508472561836242676e-02,1.078478246927261353e-02,4.147696495056152344e-02,-7.523433864116668701e-02,-2.407427787780761719e+00,3.654852509498596191e-01,1.175554394721984863e+00,-4.078195095062255859e+00,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
-1.340768486261367798e-02,5.230459570884704590e-02,-6.233155727386474609e-02,9.970791637897491455e-03,4.694169759750366211e-02,-7.213060557842254639e-02,-2.399127483367919922e+00,3.160858154296875000e-01,1.257591366767883301e+00,-4.099270820617675781e+00,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
-1.007505506277084351e-02,5.206108093261718750e-02,-5.875602364540100098e-02,1.063161343336105347e-02,4.984110593795776367e-02,-6.991313397884368896e-02,-2.407279968261718750e+00,2.889481186866760254e-01,1.317012786865234375e+00,-4.067213058471679688e+00,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
-9.033940732479095459e-03,5.118635296821594238e-02,-5.649729073047637939e-02,1.007016003131866455e-02,5.407363176345825195e-02,-6.749238073825836182e-02,-2.403397798538208008e+00,2.463523447513580322e-01,1.382757782936096191e+00,-4.080614089965820312e+00,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
-6.431050598621368408e-03,5.080577731132507324e-02,-5.362890660762786865e-02,1.035939902067184448e-02,5.673038959503173828e-02,-6.527428328990936279e-02,-2.405836343765258789e+00,2.145349234342575073e-01,1.439394712448120117e+00,-4.054873466491699219e+00,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
