X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-6.515610218048095703e-02,-9.590536355972290039e-04,8.914365619421005249e-02,-5.730016529560089111e-02,-3.749923408031463623e-02,-5.921430885791778564e-02,5.237661302089691162e-03,5.666397511959075928e-03,1.279402524232864380e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-6.019994616508483887e-02,-2.541601657867431641e-03,8.713800460100173950e-02,-3.907605260610580444e-02,-3.840394318103790283e-02,-6.611590087413787842e-02,-1.882412284612655640e-02,2.119361050426959991e-02,1.227779909968376160e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-5.513209104537963867e-02,-8.547112345695495605e-03,8.518774807453155518e-02,-2.414468675851821899e-02,-3.622302412986755371e-02,-7.114598155021667480e-02,-4.026403278112411499e-02,3.611658886075019836e-02,1.167639419436454773e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-4.917871952056884766e-02,-1.631577312946319580e-02,8.258944749832153320e-02,-1.118775457143783569e-02,-3.306204825639724731e-02,-7.623961567878723145e-02,-6.180227920413017273e-02,5.083965137600898743e-02,1.103155314922332764e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-4.292041063308715820e-02,-2.506406605243682861e-02,7.984659820795059204e-02,6.085708737373352051e-04,-2.942691743373870850e-02,-8.132557570934295654e-02,-8.325371891260147095e-02,6.531303375959396362e-02,1.038404256105422974e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-3.856953978538513184e-02,-4.545287787914276123e-02,5.919508635997772217e-02,-3.287309408187866211e-02,-4.425550252199172974e-02,-1.072675585746765137e-01,-1.081774756312370300e-01,7.362020760774612427e-02,1.138921231031417847e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-4.317755252122879028e-02,-5.677492916584014893e-02,7.418166100978851318e-02,-5.478277057409286499e-02,-4.830361157655715942e-02,-1.137727051973342896e-01,-1.096335500478744507e-01,6.434717774391174316e-02,1.342718899250030518e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-4.939848929643630981e-02,-5.797924101352691650e-02,8.735916018486022949e-02,-6.782775372266769409e-02,-6.057664006948471069e-02,-1.250012516975402832e-01,-1.170422732830047607e-01,5.859622359275817871e-02,1.561848521232604980e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-5.701216310262680054e-02,-5.647709965705871582e-02,1.022391989827156067e-01,-7.722307741641998291e-02,-7.377158105373382568e-02,-1.347266435623168945e-01,-1.232188716530799866e-01,5.223434790968894958e-02,1.782513856887817383e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-6.452776491641998291e-02,-5.363446474075317383e-02,1.168158948421478271e-01,-8.461014181375503540e-02,-8.740700036287307739e-02,-1.440541446208953857e-01,-1.297805458307266235e-01,4.607188701629638672e-02,1.995268762111663818e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
