X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-1.311342418193817139e-01,6.307793408632278442e-02,3.974975645542144775e-02,-7.287082076072692871e-02,3.774377703666687012e-02,-4.941697418689727783e-02,2.097929120063781738e-01,8.778557181358337402e-02,1.034267023205757141e-01,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.259914040565490723e-01,5.499630421400070190e-02,3.805003315210342407e-02,-5.982782319188117981e-02,4.121657460927963257e-02,-5.512191355228424072e-02,1.882858127355575562e-01,1.037026941776275635e-01,9.793347865343093872e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.202676594257354736e-01,4.615651071071624756e-02,3.568815439939498901e-02,-4.791611805558204651e-02,4.479061067104339600e-02,-6.117998063564300537e-02,1.662724614143371582e-01,1.195621713995933533e-01,9.226092696189880371e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.144507229328155518e-01,3.682735562324523926e-02,3.338783979415893555e-02,-3.666988760232925415e-02,4.853709042072296143e-02,-6.725837290287017822e-02,1.442938297986984253e-01,1.352096199989318848e-01,8.672982454299926758e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.086343526840209961e-01,2.728472650051116943e-02,3.120453655719757080e-02,-2.584352344274520874e-02,5.225430428981781006e-02,-7.342283427715301514e-02,1.222751066088676453e-01,1.506580859422683716e-01,8.142822235822677612e-02,8.355378120435196232e-01,9.619454506498056334e-01,1.115753925001976121e+00,-1.209426353494199802e+00
-1.212242692708969116e-01,-2.601139247417449951e-02,3.247393667697906494e-02,-5.072177201509475708e-02,4.719801247119903564e-02,-1.555341780185699463e-01,4.053901508450508118e-02,2.414218485355377197e-01,1.275875568389892578e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.265472769737243652e-01,-2.828624844551086426e-02,4.583539068698883057e-02,-6.439071148633956909e-02,3.547824174165725708e-02,-1.674683392047882080e-01,3.192229941487312317e-02,2.358088493347167969e-01,1.495824307203292847e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.339943408966064453e-01,-2.750378847122192383e-02,6.091698259115219116e-02,-7.381957769393920898e-02,2.225197106599807739e-02,-1.777621209621429443e-01,2.508657984435558319e-02,2.295827120542526245e-01,1.719272583723068237e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.413899660110473633e-01,-2.512386441230773926e-02,7.577984780073165894e-02,-8.108661323785781860e-02,8.452102541923522949e-03,-1.876479983329772949e-01,1.795812696218490601e-02,2.234402894973754883e-01,1.935441344976425171e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.485095918178558350e-01,-2.229188382625579834e-02,9.019028395414352417e-02,-8.716090023517608643e-02,-5.146197974681854248e-03,-1.967897713184356689e-01,1.091726496815681458e-02,2.172877639532089233e-01,2.141005545854568481e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.551429033279418945e-01,-1.940077543258666992e-02,1.039298400282859802e-01,-9.247083961963653564e-02,-1.831823587417602539e-02,-2.052795886993408203e-01,3.848657011985778809e-03,2.112056314945220947e-01,2.334813624620437622e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.612457036972045898e-01,-1.664283871650695801e-02,1.169624999165534973e-01,-9.722304344177246094e-02,-3.095883131027221680e-02,-2.131457924842834473e-01,-3.243364393711090088e-03,2.052156925201416016e-01,2.516849339008331299e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.668111383914947510e-01,-1.409348845481872559e-02,1.292899549007415771e-01,-1.015216857194900513e-01,-4.304412752389907837e-02,-2.204394042491912842e-01,-1.037503778934478760e-02,1.993408799171447754e-01,2.687514722347259521e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.718561649322509766e-01,-1.178261637687683105e-02,1.409388184547424316e-01,-1.054252460598945618e-01,-5.457908287644386292e-02,-2.272061407566070557e-01,-1.755370944738388062e-02,1.935959458351135254e-01,2.847383022308349609e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.764051467180252075e-01,-9.717822074890136719e-03,1.519427448511123657e-01,-1.089710593223571777e-01,-6.558258831501007080e-02,-2.334901690483093262e-01,-2.478618919849395752e-02,1.879924982786178589e-01,2.997075617313385010e-01,-2.316003705054160700e-02,-1.026550483535372704e+00,1.134574353725647855e+00,-7.117371816706272725e-01
-1.844564527273178101e-01,3.038338571786880493e-02,1.278114467859268188e-01,-9.381306171417236328e-02,-1.256182044744491577e-01,-2.106701731681823730e-01,-1.616242900490760803e-02,1.342808008193969727e-01,2.921097874641418457e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.771604120731353760e-01,4.008010029792785645e-02,1.290064156055450439e-01,-9.969237446784973145e-02,-1.412041336297988892e-01,-1.917013525962829590e-01,-1.071701943874359131e-02,9.136985987424850464e-02,2.887648046016693115e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.686715483665466309e-01,4.689783602952957153e-02,1.307865977287292480e-01,-1.081226766109466553e-01,-1.537305265665054321e-01,-1.714696735143661499e-01,-3.923691809177398682e-03,4.741775244474411011e-02,2.845929563045501709e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.593148708343505859e-01,5.296913534402847290e-02,1.316445767879486084e-01,-1.177499592304229736e-01,-1.659956276416778564e-01,-1.517815589904785156e-01,2.241849899291992188e-03,3.610171377658843994e-03,2.800565361976623535e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.501808315515518188e-01,5.858846753835678101e-02,1.326520740985870361e-01,-1.278050541877746582e-01,-1.781252026557922363e-01,-1.320724785327911377e-01,8.748963475227355957e-03,-4.020185396075248718e-02,2.757384479045867920e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.410058885812759399e-01,6.424740701913833618e-02,1.337193846702575684e-01,-1.380429863929748535e-01,-1.903004795312881470e-01,-1.125796213746070862e-01,1.520045846700668335e-02,-8.397630602121353149e-02,2.716034352779388428e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.320314556360244751e-01,6.989055126905441284e-02,1.349436938762664795e-01,-1.483985483646392822e-01,-2.025636583566665649e-01,-9.320273995399475098e-02,2.179311960935592651e-02,-1.277009844779968262e-01,2.677362859249114990e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.231734454631805420e-01,7.561112940311431885e-02,1.363041400909423828e-01,-1.588318943977355957e-01,-2.149146944284439087e-01,-7.397601753473281860e-02,2.844841033220291138e-02,-1.713794916868209839e-01,2.641044557094573975e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.144762039184570312e-01,8.138676732778549194e-02,1.378034949302673340e-01,-1.693367958068847656e-01,-2.273533791303634644e-01,-5.487283319234848022e-02,3.520946204662322998e-02,-2.150074243545532227e-01,2.607099115848541260e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-1.059160828590393066e-01,8.723353594541549683e-02,1.394287347793579102e-01,-1.799059510231018066e-01,-2.398698329925537109e-01,-3.589352965354919434e-02,4.206303507089614868e-02,-2.585862874984741211e-01,2.575331926345825195e-01,-6.423935936729454621e-01,-1.503504064086051750e+00,-1.161052154998967634e+00,-1.460628843077400818e+00
-8.551260828971862793e-02,4.595486074686050415e-02,1.862006038427352905e-01,-1.521534621715545654e-01,-1.982185542583465576e-01,-3.327529132366180420e-02,-7.951095700263977051e-03,-2.374277412891387939e-01,2.562298476696014404e-01,9.472572168801224324e-02,4.762990946829648298e-01,1.408240757190688530e+00,-1.377991819717379496e+00
-7.575206458568572998e-02,3.467557579278945923e-02,1.876258105039596558e-01,-1.434292197227478027e-01,-1.991133689880371094e-01,-3.819222748279571533e-02,-3.695282340049743652e-02,-2.309662103652954102e-01,2.530158758163452148e-01,9.472572168801224324e-02,4.762990946829648298e-01,1.408240757190688530e+00,-1.377991819717379496e+00
-6.697270274162292480e-02,2.355797030031681061e-02,1.886927783489227295e-01,-1.343344599008560181e-01,-2.009720802307128906e-01,-4.304212331771850586e-02,-6.563583016395568848e-02,-2.243781387805938721e-01,2.500500679016113281e-01,9.472572168801224324e-02,4.762990946829648298e-01,1.408240757190688530e+00,-1.377991819717379496e+00
-5.829921364784240723e-02,1.276835240423679352e-02,1.899207681417465210e-01,-1.251651197671890259e-01,-2.030566781759262085e-01,-4.805108904838562012e-02,-9.439811855554580688e-02,-2.178539484739303589e-01,2.473406791687011719e-01,9.472572168801224324e-02,4.762990946829648298e-01,1.408240757190688530e+00,-1.377991819717379496e+00
