X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-5.317100882530212402e-02,1.673802733421325684e-03,1.004261970520019531e-01,-8.023643493652343750e-02,-1.898176968097686768e-02,-7.641617953777313232e-02,6.229672580957412720e-03,1.193924248218536377e-02,1.395458579063415527e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
-6.329954415559768677e-02,3.638114780187606812e-03,1.005263030529022217e-01,-7.795235514640808105e-02,-1.467966288328170776e-02,-9.605337679386138916e-02,4.047691822052001953e-03,4.335917159914970398e-02,1.496006101369857788e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
-7.570833712816238403e-02,3.349516540765762329e-03,1.039783060550689697e-01,-7.351431250572204590e-02,-6.838027387857437134e-03,-1.120702326297760010e-01,6.050463765859603882e-03,7.525326311588287354e-02,1.592464894056320190e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
-8.715874701738357544e-02,3.136496990919113159e-03,1.063643693923950195e-01,-6.906226277351379395e-02,1.015439629554748535e-03,-1.287245452404022217e-01,6.955247372388839722e-03,1.077014505863189697e-01,1.681841015815734863e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
-9.849454462528228760e-02,2.555273473262786865e-03,1.084047108888626099e-01,-6.415420770645141602e-02,9.392842650413513184e-03,-1.451977193355560303e-01,7.902592420578002930e-03,1.407685428857803345e-01,1.765045374631881714e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
-1.095731779932975769e-01,1.714644953608512878e-03,1.100052595138549805e-01,-5.891060829162597656e-02,1.816732808947563171e-02,-1.616439521312713623e-01,8.695272728800773621e-03,1.743861436843872070e-01,1.842415779829025269e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
-1.204414367675781250e-01,6.182957440614700317e-04,1.112122535705566406e-01,-5.334278941154479980e-02,2.732543274760246277e-02,-1.780354976654052734e-01,9.387366473674774170e-03,2.085156291723251343e-01,1.914344429969787598e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
-1.311091333627700806e-01,-7.118117064237594604e-04,1.120451390743255615e-01,-4.748108983039855957e-02,3.683374449610710144e-02,-1.943762898445129395e-01,9.985299780964851379e-03,2.431116104125976562e-01,1.981187760829925537e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
-1.415908783674240112e-01,-2.258243039250373840e-03,1.125269532203674316e-01,-4.135116934776306152e-02,4.666333273053169250e-02,-2.106630504131317139e-01,1.050288230180740356e-02,2.781289815902709961e-01,2.043281197547912598e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
-1.518984884023666382e-01,-4.003660753369331360e-03,1.126792430877685547e-01,-3.497859835624694824e-02,5.678499490022659302e-02,-2.268926054239273071e-01,1.095088198781013489e-02,3.135217726230621338e-01,2.100944221019744873e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
