X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,U0,U1,U2,U3
-3.594499230384826660e-01,6.655760854482650757e-02,8.452700078487396240e-02,-3.447350859642028809e-02,2.085697352886199951e-01,-3.829884231090545654e-01,2.910486459732055664e-01,7.098624706268310547e-01,2.915375828742980957e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01,8.387715229696520725e-01
-3.656437098979949951e-01,6.324013322591781616e-02,8.172092586755752563e-02,-2.712541818618774414e-02,2.205413281917572021e-01,-3.951769769191741943e-01,2.910395264625549316e-01,7.419102787971496582e-01,2.915338873863220215e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01,8.564590634128068647e-01
-3.719636201858520508e-01,5.986332893371582031e-02,7.883414626121520996e-02,-1.965615153312683105e-02,2.326788902282714844e-01,-4.075778126716613770e-01,2.910315394401550293e-01,7.745009064674377441e-01,2.915306389331817627e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01,8.732664887667168641e-01
-3.784027695655822754e-01,5.643091350793838501e-02,7.586951553821563721e-02,-1.207432150840759277e-02,2.449676394462585449e-01,-4.201769232749938965e-01,2.910243272781372070e-01,8.075966238975524902e-01,2.915280461311340332e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01,8.891557965605892955e-01
-3.849541544914245605e-01,5.294694006443023682e-02,7.282987982034683228e-02,-4.389375448226928711e-03,2.573926150798797607e-01,-4.329594373703002930e-01,2.910189330577850342e-01,8.411580324172973633e-01,2.915262281894683838e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01,9.040913905356044999e-01
-3.916097879409790039e-01,4.941543936729431152e-02,6.971877813339233398e-02,3.389924764633178711e-03,2.699383497238159180e-01,-4.459100365638732910e-01,2.910142242908477783e-01,8.751443028450012207e-01,2.915250062942504883e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01,9.180401501157187116e-01
-3.983622193336486816e-01,4.584053903818130493e-02,6.653947383165359497e-02,1.125362515449523926e-02,2.825892567634582520e-01,-4.590130746364593506e-01,2.910109162330627441e-01,9.095140695571899414e-01,2.915246486663818359e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01,9.309714932607593418e-01
-4.052028954029083252e-01,4.222663491964340210e-02,6.329545378684997559e-02,1.919221878051757812e-02,2.953291237354278564e-01,-4.722522497177124023e-01,2.910085022449493408e-01,9.442244172096252441e-01,2.915248870849609375e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01,9.428574326205216849e-01
-4.121239781379699707e-01,3.857799619436264038e-02,5.999068915843963623e-02,2.719566226005554199e-02,3.081418871879577637e-01,-4.856114089488983154e-01,2.910073101520538330e-01,9.792322516441345215e-01,2.915261089801788330e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01,9.536726249259865895e-01
-4.191166162490844727e-01,3.489921987056732178e-02,5.662894248962402344e-02,3.525358438491821289e-02,3.210110664367675781e-01,-4.990734457969665527e-01,2.910074293613433838e-01,1.014492630958557129e+00,2.915280759334564209e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01,9.633944135710799106e-01
