X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,Y4,Y5,U0,U1,U2
-2.829076528549194336e+00,1.401536226272583008e+00,-2.104835510253906250e+00,1.898445844650268555e+00,-1.506465911865234375e+00,2.095700740814208984e+00,-1.180811500549316406e+01,-2.123963832855224609e+00,1.405823945999145508e+00,-9.622600555419921875e+00,-2.879505634307861328e+00,-3.593736648559570312e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-2.924406051635742188e+00,1.175921797752380371e+00,-2.248829126358032227e+00,2.226555585861206055e+00,-1.474137067794799805e+00,1.600124359130859375e+00,-1.182240962982177734e+01,-2.222850799560546875e+00,1.335578441619873047e+00,-8.552312850952148438e+00,-2.948570251464843750e+00,-5.444270610809326172e+00,2.847926320985076920e-01,6.298194453701930762e-01,2.373501972777572799e+00
-2.935080528259277344e+00,1.120647430419921875e+00,-2.300910472869873047e+00,2.215930938720703125e+00,-1.436225175857543945e+00,1.574698448181152344e+00,-1.181328868865966797e+01,-2.390049219131469727e+00,1.430532336235046387e+00,-8.410157203674316406e+00,-3.076245784759521484e+00,-5.526839256286621094e+00,3.208841668845446304e-01,6.800159835931912644e-01,2.479280973747593819e+00
-2.931430101394653320e+00,8.630366921424865723e-01,-2.517504453659057617e+00,2.576291084289550781e+00,-1.289651155471801758e+00,9.373339414596557617e-01,-1.182866668701171875e+01,-2.587817907333374023e+00,1.410887241363525391e+00,-6.552176952362060547e+00,-3.187758445739746094e+00,-7.493360996246337891e+00,3.542008329823561619e-01,7.254356527383687414e-01,2.598766558013919425e+00
-2.865854978561401367e+00,6.168445348739624023e-01,-2.783501386642456055e+00,2.946043491363525391e+00,-1.086692810058593750e+00,1.470648497343063354e-01,-1.181332397460937500e+01,-2.727712392807006836e+00,1.411424994468688965e+00,-4.072374820709228516e+00,-3.414102554321289062e+00,-9.672151565551757812e+00,3.849559263389800146e-01,7.665329234102449263e-01,2.721579891448806521e+00
-2.737382173538208008e+00,4.240580201148986816e-01,-3.057118892669677734e+00,3.215445518493652344e+00,-8.004667162895202637e-01,-5.575659871101379395e-01,-1.183190727233886719e+01,-2.918365478515625000e+00,1.447767972946166992e+00,-1.521341204643249512e+00,-3.774816513061523438e+00,-1.130849361419677734e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-2.681716680526733398e+00,4.307826161384582520e-01,-3.120236635208129883e+00,3.193778514862060547e+00,-7.345327734947204590e-01,-6.738145351409912109e-01,-1.179596710205078125e+01,-2.908042669296264648e+00,1.529339075088500977e+00,-9.439361095428466797e-01,-3.938314437866210938e+00,-1.140716838836669922e+01,3.900798992700292844e-01,7.732990192460812429e-01,2.742725709992361427e+00
-2.679464340209960938e+00,3.942276239395141602e-01,-3.152688503265380859e+00,3.201551675796508789e+00,-7.588813304901123047e-01,-6.980466842651367188e-01,-1.177431106567382812e+01,-2.980331420898437500e+00,1.644342899322509766e+00,-8.672863245010375977e-01,-3.943988323211669922e+00,-1.155229568481445312e+01,4.133465203685712797e-01,8.037194021811097100e-01,2.839371800734650897e+00
-2.451056003570556641e+00,3.052000403404235840e-01,-3.396793842315673828e+00,3.283439636230468750e+00,-4.024595618247985840e-01,-1.217845797538757324e+00,-1.174831104278564453e+01,-3.141470193862915039e+00,1.764475107192993164e+00,1.581412076950073242e+00,-4.392311096191406250e+00,-1.222600173950195312e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-2.281006574630737305e+00,2.848579287528991699e-01,-3.592645168304443359e+00,3.315563201904296875e+00,-9.833115339279174805e-02,-1.685239672660827637e+00,-1.171144485473632812e+01,-3.129569292068481445e+00,1.797547101974487305e+00,3.642082691192626953e+00,-4.927902221679687500e+00,-1.281561851501464844e+01,4.395543185253476537e-01,8.373670756336287768e-01,2.945365734764032073e+00
-2.315067529678344727e+00,3.125797510147094727e-01,-3.580287456512451172e+00,3.242216587066650391e+00,-1.252432018518447876e-01,-1.645681500434875488e+00,-1.163961982727050781e+01,-3.081415414810180664e+00,1.823206305503845215e+00,3.443328857421875000e+00,-5.058729648590087891e+00,-1.270807266235351562e+01,4.637473881937204112e-01,8.678131849437419332e-01,3.037371083515849612e+00
-2.045331716537475586e+00,3.075642585754394531e-01,-3.789708137512207031e+00,3.215137958526611328e+00,2.685868144035339355e-01,-2.008549213409423828e+00,-1.165254974365234375e+01,-3.194852828979492188e+00,1.950265526771545410e+00,5.630898475646972656e+00,-5.532505035400390625e+00,-1.272407627105712891e+01,4.860801285313018361e-01,8.953614201379610504e-01,3.106756271121852819e+00
-1.830895781517028809e+00,4.212539196014404297e-01,-3.829231023788452148e+00,3.019985675811767578e+00,4.759857952594757080e-01,-2.081913709640502930e+00,-1.146025371551513672e+01,-3.042637586593627930e+00,2.028775215148925781e+00,6.647803783416748047e+00,-5.788643836975097656e+00,-1.201406288146972656e+01,5.066958659831151124e-01,9.202881281181275464e-01,3.150443051133666739e+00
-1.680431485176086426e+00,6.779596805572509766e-01,-3.809688806533813477e+00,2.637077331542968750e+00,6.806948184967041016e-01,-1.914386034011840820e+00,-1.131030845642089844e+01,-2.796760082244873047e+00,2.053720474243164062e+00,6.963306903839111328e+00,-6.270687103271484375e+00,-1.050504779815673828e+01,5.257265845489574874e-01,9.428427335726029535e-01,3.166497993836379088e+00
-1.682095646858215332e+00,9.447636604309082031e-01,-3.722930431365966797e+00,2.175184249877929688e+00,7.934381961822509766e-01,-1.572996616363525391e+00,-1.112530422210693359e+01,-2.599031686782836914e+00,2.002509117126464844e+00,6.358827590942382812e+00,-6.891072273254394531e+00,-8.829823493957519531e+00,5.432941561107742512e-01,9.632509940467524068e-01,3.154081401875396651e+00
-1.762578248977661133e+00,1.085576057434082031e+00,-3.621782541275024414e+00,1.809815168380737305e+00,7.866457700729370117e-01,-1.167602300643920898e+00,-1.095613670349121094e+01,-2.620465278625488281e+00,2.030426502227783203e+00,5.208349227905273438e+00,-7.255867004394531250e+00,-7.464139461517333984e+00,5.432941561107742512e-01,9.632509940467524068e-01,3.154081401875396651e+00
-1.795193552970886230e+00,1.132086277008056641e+00,-3.564213514328002930e+00,1.674244284629821777e+00,7.332293987274169922e-01,-1.089373111724853516e+00,-1.074935150146484375e+01,-2.505713224411010742e+00,2.026352882385253906e+00,4.838861942291259766e+00,-7.370388031005859375e+00,-7.188185691833496094e+00,5.595110646643101093e-01,9.817171431344571264e-01,3.253649520776651816e+00
-2.038856983184814453e+00,1.293938398361206055e+00,-3.413568019866943359e+00,1.308318972587585449e+00,4.927683770656585693e-01,-5.760580301284790039e-01,-1.060779094696044922e+01,-2.414273023605346680e+00,2.100567817687988281e+00,2.727055788040161133e+00,-7.695604801177978516e+00,-6.072703361511230469e+00,5.744809713402420082e-01,9.984257654389580017e-01,3.334574909571044188e+00
-2.430552721023559570e+00,1.336496114730834961e+00,-3.319952487945556641e+00,1.003254532814025879e+00,1.933555603027343750e-01,-1.006101816892623901e-01,-1.051467323303222656e+01,-2.538683891296386719e+00,2.263138771057128906e+00,2.832699418067932129e-01,-8.199542999267578125e+00,-5.527603626251220703e+00,5.883001491752233303e-01,1.013544639775768808e+00,3.349297234049767535e+00
-2.892663478851318359e+00,1.255319356918334961e+00,-3.241034030914306641e+00,9.279639124870300293e-01,-2.083324193954467773e-01,1.553570926189422607e-01,-1.042693996429443359e+01,-2.606261253356933594e+00,2.359854221343994141e+00,-2.008315801620483398e+00,-8.518416404724121094e+00,-6.083160877227783203e+00,5.959972598912702813e-01,1.021831700765320150e+00,3.326766893368378053e+00
-3.195468187332153320e+00,1.110527157783508301e+00,-3.187275409698486328e+00,9.860218167304992676e-01,-4.644255638122558594e-01,2.165387570858001709e-01,-1.030765914916992188e+01,-2.691275835037231445e+00,2.353383064270019531e+00,-3.308714389801025391e+00,-8.607388496398925781e+00,-6.870595455169677734e+00,5.959972598912702813e-01,1.021831700765320150e+00,3.326766893368378053e+00
-3.165599346160888672e+00,1.112788438796997070e+00,-3.173667430877685547e+00,9.044023752212524414e-01,-3.932530581951141357e-01,2.343178093433380127e-01,-1.017825603485107422e+01,-2.718640804290771484e+00,2.319334030151367188e+00,-3.207126855850219727e+00,-8.713352203369140625e+00,-6.583073139190673828e+00,6.010568889623842948e-01,1.027224810944594280e+00,3.299238356227250257e+00
-3.382496356964111328e+00,1.004345417022705078e+00,-3.139390230178833008e+00,1.017641425132751465e+00,-6.032431125640869141e-01,1.745110005140304565e-01,-1.009612560272216797e+01,-2.671352386474609375e+00,2.271526813507080078e+00,-3.930215597152709961e+00,-8.733104705810546875e+00,-7.524468898773193359e+00,6.128328691283350116e-01,1.039603180691792472e+00,3.193892417642267834e+00
-3.714426517486572266e+00,7.271053791046142578e-01,-3.145709037780761719e+00,1.357459306716918945e+00,-9.181658625602722168e-01,-6.303456425666809082e-02,-1.005152225494384766e+01,-2.742094278335571289e+00,2.220705032348632812e+00,-4.670299053192138672e+00,-8.637849807739257812e+00,-9.605020523071289062e+00,6.128328691283350116e-01,1.039603180691792472e+00,3.193892417642267834e+00
-3.640143156051635742e+00,7.161941528320312500e-01,-3.131736993789672852e+00,1.343870162963867188e+00,-8.117862939834594727e-01,-1.173768639564514160e-01,-9.939687728881835938e+00,-2.742955207824707031e+00,2.118063449859619141e+00,-4.267640113830566406e+00,-8.633177757263183594e+00,-9.462507247924804688e+00,6.237034043687251783e-01,1.050803488318347023e+00,2.954456601481089795e+00
-3.802829265594482422e+00,4.413186907768249512e-01,-3.152995824813842773e+00,1.785981655120849609e+00,-1.041579246520996094e+00,-6.054819822311401367e-01,-9.802115440368652344e+00,-2.651535749435424805e+00,1.970259189605712891e+00,-3.917278289794921875e+00,-8.333433151245117188e+00,-1.190877628326416016e+01,6.337381271907550628e-01,9.061827631317836973e-01,2.704615206220409185e+00
-3.825610637664794922e+00,1.077677384018898010e-01,-3.245271205902099609e+00,2.283342599868774414e+00,-1.098545193672180176e+00,-1.269008398056030273e+00,-9.642314910888671875e+00,-2.724642992019653320e+00,1.805081963539123535e+00,-2.561642169952392578e+00,-8.033115386962890625e+00,-1.446656227111816406e+01,6.430013836855363873e-01,6.571831894990852740e-01,2.451467108780941651e+00
-3.667606830596923828e+00,-1.841577887535095215e-01,-3.345880508422851562e+00,2.673264026641845703e+00,-9.935334324836730957e-01,-1.871953248977661133e+00,-9.434489250183105469e+00,-2.910519838333129883e+00,1.681341290473937988e+00,-6.884107589721679688e-01,-7.688206672668457031e+00,-1.623148727416992188e+01,6.515524412376801910e-01,4.318792960200049103e-01,2.203049336049673013e+00
-3.199279785156250000e+00,-3.133343458175659180e-01,-3.476623058319091797e+00,2.821291208267211914e+00,-5.629465579986572266e-01,-2.321757078170776367e+00,-9.263074874877929688e+00,-3.155907154083251953e+00,1.653140902519226074e+00,2.040072202682495117e+00,-7.395901679992675781e+00,-1.632192993164062500e+01,6.594460627381985018e-01,2.280158710441820835e-01,1.966881901751934114e+00
