X0,X1,X2,X3,X4,X5,Y0,Y1,Y2,Y3,U0,U1,U2,U3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.401265605206453824e+00,6.540359463804974460e-01,5.451801005381802234e-01,-4.141622126721892450e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.401600191071540991e+00,6.213223977408121046e-01,6.168050650136983615e-01,-4.137440691947435134e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.401910187200310354e+00,5.880191681363455825e-01,6.872247044065246113e-01,-4.132972796052186482e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402196607639132342e+00,5.541745457969667887e-01,7.564351392321484457e-01,-4.128223338172842816e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402460473439613331e+00,5.198336446632864094e-01,8.244381155772129155e-01,-4.123197197095653799e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402702843269845179e+00,4.850368492863861292e-01,8.912456263907289067e-01,-4.117899251027559160e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.402924741425779054e+00,4.498277466345256270e-01,9.568628927426818809e-01,-4.112334389042925586e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403127118587171207e+00,4.142439902407528129e-01,1.021298013088316914e+00,-4.106507315476356723e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403310966353174205e+00,3.783269476214273785e-01,1.084558194802711650e+00,-4.100422873009331504e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403477250296046197e+00,3.421159516476275919e-01,1.146652238105417609e+00,-4.094085852416760929e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403626848723666942e+00,3.056360448980736111e-01,1.207601719120180439e+00,-4.087500688885592481e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403760709328655931e+00,2.689287929845290415e-01,1.267413050534139440e+00,-4.080672227320667034e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403879689557431920e+00,2.320250666588976884e-01,1.326100183389413045e+00,-4.073605001366169986e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.403984566334301576e+00,1.949481331581442989e-01,1.383680934647741445e+00,-4.066303291321023750e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404076217787903147e+00,1.577344697195063317e-01,1.440166351897706143e+00,-4.058771821101398558e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404155361582915873e+00,1.204078619414207796e-01,1.495570198153010955e+00,-4.051014800814850325e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404222721102417193e+00,8.299366179802612764e-02,1.549906166685699249e+00,-4.043036511559652268e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404279071837681414e+00,4.552264773498435751e-02,1.603187712508287843e+00,-4.034841476960782991e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404325024893274598e+00,8.014560581305479880e-03,1.655426785565002890e+00,-4.026433662541998082e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404361241348101252e+00,-2.950602645335092394e-02,1.706636253620638977e+00,-4.017817287427491557e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404388347789881308e+00,-6.701603584078834330e-02,1.756828755870746717e+00,-4.008996490083630349e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404406975637244592e+00,-1.044923928395354029e-01,1.806017403281527045e+00,-3.999975387383797099e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404417691314005179e+00,-1.419142948193536924e-01,1.854214493083699455e+00,-3.990757994201697301e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404421047601809747e+00,-1.792613676278000112e-01,1.901432432071156198e+00,-3.981348293915777603e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404417571804511766e+00,-2.165140920877411113e-01,1.947683521425267905e+00,-3.971750221978101347e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404407765918663564e+00,-2.536538019320620507e-01,1.992979956714901579e+00,-3.961967665914346792e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404392096833004366e+00,-2.906635952421278701e-01,2.037333771748515154e+00,-3.952004402001466854e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404371012090142923e+00,-3.275269649373411252e-01,2.080756922795028885e+00,-3.941864190250089717e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404344939119005264e+00,-3.642278662110683962e-01,2.123261284307457863e+00,-3.931550769581764193e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404314277459999261e+00,-4.007514604352779841e-01,2.164858603142950422e+00,-3.921067806199304062e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404279402598108462e+00,-4.370838085656787442e-01,2.205560517400562581e+00,-3.910418914831625958e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404240686844767882e+00,-4.732108614914430911e-01,2.245378617701546453e+00,-3.899607682973437406e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404198583023675617e+00,-5.091142747751038478e-01,2.284324700734782443e+00,-3.888637771176230995e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404153354697520673e+00,-5.447847791034148290e-01,2.322409957691653482e+00,-3.877512592030176730e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-2.404105312279619433e+00,-5.802105803102104442e-01,2.359645678778883759e+00,-3.866235588837211967e+00
